method,timestep,n,snr_mean_db,snr_std_db,snr_ci95_db
ddpm,0,50000,74.17646028610217,2.0949479725967493,0.018363028618122657
ddpm,10,50000,26.67273870151505,2.143107663659856,0.01878516692265324
ddpm,20,50000,22.187575855197952,2.1580516901451565,0.018916157090241702
ddpm,30,50000,19.32749347078317,2.1642312779055835,0.018970323565198243
ddpm,40,50000,17.220269311986005,2.1657485174225597,0.018983622755934824
ddpm,50,50000,15.55590427566294,2.165380781905469,0.01898039941200812
ddpm,60,50000,14.185417810659692,2.163611385081541,0.018964889965024413
ddpm,70,50000,13.026891916808513,2.16158049529207,0.01894708843113807
ddpm,80,50000,12.02672350787995,2.1579680075731615,0.018915423580157208
ddpm,90,50000,11.15099429081424,2.1546216174969866,0.018886091177854142
ddpm,100,50000,10.375224884075692,2.150619179529545,0.018851008262240114
ddpm,200,50000,5.697977452937531,2.0989277633269436,0.018397913021949694
ddpm,300,50000,3.626354539336529,2.0729404120104227,0.018170123844281967
ddpm,400,50000,2.580321076129308,2.072286231207372,0.0181643896967208
ddpm,500,50000,2.013251561849282,2.080889431602001,0.018239800073074054
ddpm,600,50000,1.699717849286651,2.0896396499318586,0.01831649911844788
ddpm,700,50000,1.527868027543827,2.09680818096961,0.018379334063428857
ddpm,800,50000,1.4389430875994387,2.1018433260103193,0.018423469055652238
ddpm,900,50000,1.3968007989186866,2.1050748602373974,0.018451794702049423
ddpm,1000,50000,1.3781317696122994,2.106854465612404,0.018467393630928648
iso,0,50000,74.14968835830683,2.0849761833840246,0.018275622031857803
iso,10,50000,26.667722988185943,2.136312180646378,0.018725601887777558
iso,20,50000,22.19364105752946,2.150882954949566,0.018853320355738362
iso,30,50000,19.33573936857223,2.157216303167787,0.018908834600531547
iso,40,50000,17.228717593832037,2.158613293366919,0.018921079759524256
iso,50,50000,15.564487948639401,2.1581998887739164,0.01891745610849737
iso,60,50000,14.193672189228835,2.1566564031448396,0.018903926860444845
iso,70,50000,13.034806232520978,2.15453474103182,0.018885329672061656
iso,80,50000,12.034514871847449,2.151083596144098,0.018855079053350595
iso,90,50000,11.158743177234767,2.1478036299982066,0.018826328882467443
iso,100,50000,10.383207063928184,2.1437108362372217,0.01879045396340304
iso,200,50000,5.713289722429896,2.0898832813868653,0.0183186346423077
iso,300,50000,3.650409997228732,2.0610780820421057,0.018066145937653665
iso,400,50000,2.6111008995365745,2.0591360499485947,0.0180491232758134
iso,500,50000,2.04947796460417,2.0674045558394405,0.018121599925491016
iso,600,50000,1.7397298726868295,2.0758680374822975,0.018195785612987635
iso,700,50000,1.5705419825656817,2.083204926062399,0.018260096276892755
iso,800,50000,1.482725651070261,2.0883772029012366,0.0183054332823243
iso,900,50000,1.4388339874305913,2.0916097949951933,0.018333768201333516
iso,1000,50000,1.4057618180035572,2.0927715023796236,0.01834395101552519
