method,timestep,n,snr_mean_db,snr_std_db,snr_ci95_db,psnr_mean_db,psnr_std_db,psnr_ci95_db,lpips_mean,lpips_std,lpips_ci95
ddpm,0,50000,74.17646028610217,2.0949479725967493,0.018363028618122657,80.0,0.0,0.0,0.0,0.0,0.0
ddpm,10,50000,26.67273870151505,2.143107663659856,0.01878516692265324,32.496280568313736,0.2235645343214737,0.001959629544715528,0.001291781025662493,0.0011596889022661445,1.0165121415419299e-05
ddpm,20,50000,22.187575855197952,2.1580516901451565,0.018916157090241702,28.011117717933544,0.2496545371779994,0.00218831850280332,0.004395282571012501,0.003982979926564173,3.491235836575327e-05
ddpm,30,50000,19.32749347078317,2.1642312779055835,0.018970323565198243,25.151035323829596,0.266329957901097,0.002334485010021119,0.009693234226045878,0.008347229376012384,7.316669144950362e-05
ddpm,40,50000,17.220269311986005,2.1657485174225597,0.018983622755934824,23.04381116081237,0.277951826729731,0.0024363551818286527,0.01713712323893089,0.013620987508026245,0.00011939321963539882
ddpm,50,50000,15.55590427566294,2.165380781905469,0.01898039941200812,21.37944613330841,0.2859380901036137,0.0025063578667663096,0.026435562633024646,0.019314779629206146,0.00016930150806762585
ddpm,60,50000,14.185417810659692,2.163611385081541,0.018964889965024413,20.008959664421077,0.29085975915575146,0.0025494981980945905,0.037245556165841576,0.025106684849214543,0.00022006979572903047
ddpm,70,50000,13.026891916808513,2.16158049529207,0.01894708843113807,18.85043377292618,0.29269323655631846,0.0025655693360978698,0.049253133548265327,0.030742242942441666,0.0002694676404004419
ddpm,80,50000,12.02672350787995,2.1579680075731615,0.018915423580157208,17.850265358772404,0.29121158580190254,0.0025525820946191813,0.06192479181635194,0.0359742801646006,0.00031532846868750355
ddpm,90,50000,11.15099429081424,2.1546216174969866,0.018886091177854142,16.97453614883426,0.28696663283390456,0.002515373441300068,0.07523662311242876,0.0407561459082042,0.0003572433699864464
ddpm,100,50000,10.375224884075692,2.150619179529545,0.018851008262240114,16.198766739978666,0.28038024749351925,0.002457641228339398,0.08889951964024467,0.04510845032645343,0.00039539300025532
ddpm,200,50000,5.697977452937531,2.0989277633269436,0.018397913021949694,11.521519314823129,0.12346767367228434,0.0010822418765115563,0.22346915560089,0.06726377525475931,0.0005895929856602074
ddpm,300,50000,3.626354539336529,2.0729404120104227,0.018170123844281967,9.449896394577024,0.23127180629274152,0.002027186762186956,0.3211375952342148,0.06936236900056945,0.000607987970889534
ddpm,400,50000,2.580321076129308,2.072286231207372,0.0181643896967208,8.403862936353647,0.3990287878459283,0.0034976415388431235,0.3769878735500563,0.07097505037530481,0.0006221237463949618
ddpm,500,50000,2.013251561849282,2.080889431602001,0.018239800073074054,7.8367934204959795,0.5162953199283531,0.004525528012753213,0.4054838416147223,0.0728352563931356,0.0006384291710584152
ddpm,600,50000,1.699717849286651,2.0896396499318586,0.01831649911844788,7.523259704494482,0.5925042519158382,0.005193528754226579,0.41848128929108397,0.07408201805218408,0.0006493575188381966
ddpm,700,50000,1.527868027543827,2.09680818096961,0.018379334063428857,7.351409881591775,0.6395954300446095,0.0056063011299375964,0.42402677530139693,0.07453015962021119,0.0006532856528760323
ddpm,800,50000,1.4389430875994387,2.1018433260103193,0.018423469055652238,7.262484946184172,0.6655960307714103,0.0058342064438069476,0.4266241845673328,0.07474026328394931,0.000655127292687838
ddpm,900,50000,1.3968007989186866,2.1050748602373974,0.018451794702049423,7.220342652959827,0.6797634946375328,0.005958389739918762,0.42761375683516484,0.07468500510813775,0.0006546429334211229
ddpm,1000,50000,1.3781317696122994,2.106854465612404,0.018467393630928648,7.201673622970581,0.6856090145006517,0.006009627980647577,0.42820662404775667,0.07449951348532531,0.0006530170276598907
iso,0,50000,74.14968835830683,2.0849761833840246,0.018275622031857803,80.0,0.0,0.0,0.0,0.0,0.0
iso,10,50000,26.667722988185943,2.136312180646378,0.018725601887777558,32.51803675483696,0.22274062124266517,0.0019524076281606014,0.0014544546167146464,0.0014240226634528515,1.2482108989765055e-05
iso,20,50000,22.19364105752946,2.150882954949566,0.018853320355738362,28.04395481468206,0.24782357134842395,0.0021722693796904333,0.004982488350031785,0.004702709228697381,4.122106385402916e-05
iso,30,50000,19.33573936857223,2.157216303167787,0.018908834600531547,25.186053118858318,0.26318311622175006,0.0023069017265360784,0.010976474526163679,0.009647079969214545,8.456038425451798e-05
iso,40,50000,17.228717593832037,2.158613293366919,0.018921079759524256,23.079031356468263,0.2739820472680609,0.002401558530639303,0.019307173108430623,0.015495762006408073,0.00013582634266118897
