name,timestep,num_images,mean
r_Theta_1000,1000,10000,0.9990179539
r_Theta_900,900,10000,0.9993472695
r_Theta_800,800,10000,0.9996105433
r_Theta_700,700,10000,0.9986275434
r_Theta_600,600,10000,0.9964557886
r_Theta_500,500,10000,0.9933602810
r_Theta_400,400,10000,0.9878001213
r_Theta_300,300,10000,0.9815722704
r_Theta_200,200,10000,0.9706146717
r_Theta_150,150,10000,0.9605472684
r_Theta_140,140,10000,0.9580775499
r_Theta_130,130,10000,0.9551189542
r_Theta_120,120,10000,0.9519295096
r_Theta_110,110,10000,0.9477711916
r_Theta_100,100,10000,0.9436884522
r_Theta_90,90,10000,0.9386630654
r_Theta_80,80,10000,0.9323753119
r_Theta_70,70,10000,0.9250341058
r_Theta_60,60,10000,0.9159530997
r_Theta_50,50,10000,0.9045806527
r_Theta_40,40,10000,0.8892462850
r_Theta_30,30,10000,0.8676361442
r_Theta_20,20,10000,0.8336414099
r_Theta_10,10,10000,0.7705743909
r_Theta_0,0,10000,0.5579581261
