name,timestep,num_images,mean
r_Theta_1000,1000,1000,1.0220944881
r_Theta_900,900,1000,1.0044640303
r_Theta_800,800,1000,1.0003633499
r_Theta_700,700,1000,0.9990304708
r_Theta_600,600,1000,0.9961394072
r_Theta_500,500,1000,0.9941009879
r_Theta_400,400,1000,0.9892554879
r_Theta_300,300,1000,0.9826371074
r_Theta_200,200,1000,0.9727812409
r_Theta_150,150,1000,0.9634954929
r_Theta_140,140,1000,0.9612100720
r_Theta_130,130,1000,0.9587302804
r_Theta_120,120,1000,0.9557881355
r_Theta_110,110,1000,0.9526599050
r_Theta_100,100,1000,0.9479218125
r_Theta_90,90,1000,0.9437786937
r_Theta_80,80,1000,0.9382489920
r_Theta_70,70,1000,0.9313490987
r_Theta_60,60,1000,0.9224698544
r_Theta_50,50,1000,0.9129863381
r_Theta_40,40,1000,0.9000406265
r_Theta_30,30,1000,0.8805240393
r_Theta_20,20,1000,0.8497771025
r_Theta_10,10,1000,0.7912815213
r_Theta_0,0,1000,0.6074047685
