image_index,r_theta
0,0.9314044714
1,0.9611142874
2,0.9481792450
3,0.9562366009
4,0.9714816809
5,0.9339205623
6,0.9359022975
7,0.9018537998
8,0.9073778987
9,0.9386790991
10,0.9430755377
11,0.9729101062
12,0.9858856201
13,0.9439466000
14,0.9659465551
15,0.9670985937
16,0.9091355205
17,0.9687886238
18,0.9484103918
19,0.9740977287
20,0.9850796461
21,0.9236709476
22,0.9340812564
23,0.9390187263
24,0.9233204722
25,0.9580077529
26,0.9654384851
27,0.9792064428
28,0.9479771852
29,0.9719055891
30,0.9331043959
31,0.9593253136
32,0.9367709160
33,0.8926395774
34,0.9971040487
35,0.9927749634
36,0.9647225142
37,0.9588136673
38,0.9654769897
39,0.9780974388
40,0.9482581019
41,0.9550529718
42,0.9156786799
43,0.9736920595
44,0.8889614940
45,0.9418925047
46,0.9481099844
47,0.8807104826
48,0.9492292404
49,0.9445192218
50,0.9453142881
51,0.9683339000
52,0.9949876666
53,0.9450674057
54,0.9694314003
55,1.0033670664
56,0.9688040614
57,0.9280313253
58,0.9694387317
59,0.8991777301
60,0.9298326373
61,0.9125310779
62,0.9438675642
63,0.8974132538
64,0.9356953502
65,0.8832079768
66,0.9629964828
67,0.9661442637
68,0.9577398300
69,0.9501309395
70,0.9779526591
71,0.9352415800
72,0.9051520228
73,0.9397943020
74,0.9681159854
75,0.9815133810
76,0.9100590944
77,0.9520781040
78,0.9155349731
79,0.9709693789
80,0.9155654311
81,0.9804502726
82,0.9663654566
83,0.9518980980
84,0.9709631205
85,0.9636542201
86,0.9751986861
87,0.9123699069
88,0.9821969271
89,0.9376635551
90,0.9728032947
91,0.9736809731
92,0.9351501465
93,0.8884475231
94,0.9870859981
95,0.9776953459
96,0.9248511791
97,1.0027623177
98,1.0073031187
99,1.0211881399
100,0.9593130946
101,0.8744055033
102,0.9449627399
103,0.9549356699
104,0.9447736144
105,0.9523241520
106,0.9403411150
107,0.9638991356
108,0.9843615294
109,0.9442033768
110,0.9414253235
111,0.9680125713
112,0.9597663879
113,0.9771419764
114,0.9737067223
115,0.9982683063
116,0.9440307617
117,0.9623179436
118,0.9693835974
119,0.9258794188
120,0.9910470843
121,0.9768943787
122,0.9707125425
123,0.9597734213
124,0.9520820975
125,0.9894543886
126,0.9370861053
127,0.9312071800
128,0.9659506679
129,0.9327983856
130,0.9283348918
131,0.9302951694
132,0.8953212500
133,0.9872236252
134,0.9338339567
135,0.9266670942
136,0.9294509888
137,0.9676107168
138,0.9591007233
139,0.9672175646
140,0.9688212276
141,0.9303295612
142,0.9648245573
143,0.9295748472
144,0.9314165115
145,1.0173137188
146,0.9247173071
147,0.9125906229
148,1.0054717064
149,0.9083153605
150,0.9211337566
151,0.8744308352
152,0.9588989019
153,0.9609584808
154,0.9826573133
155,0.8715707660
156,0.9627014995
157,0.9461307526
158,0.9602816105
159,0.9599434733
160,0.9934245944
161,0.9322240353
162,0.9546820521
163,0.9281222820
164,0.9442171454
165,0.9846194983
166,0.9452069998
167,0.9601566792
168,0.9075942039
169,1.0022776127
170,0.9882934093
171,0.9884907603
172,0.9555565715
173,0.9482833743
174,0.9046000838
175,0.9445433617
176,0.9254621267
177,0.9666684866
178,0.9247645140
179,0.9524228573
180,0.9190074205
181,0.8757969141
182,0.9221309423
183,0.9875313640
184,0.9694538116
185,1.0015900135
186,0.9153262973
187,1.0121746063
188,0.9603316784
189,0.9357380271
190,0.8982862234
191,0.9519172907
192,0.9353846312
193,0.9856268167
194,0.9834439158
195,0.9253166914
196,0.9924713969
197,0.9355167150
198,0.9696511030
199,0.9251574278
200,0.9898473024
201,0.9559595585
202,0.9577530622
203,0.9798443317
204,0.9556409717
205,0.9592485428
206,0.9690170288
207,0.9373285174
208,0.9804816246
209,0.9215580821
210,0.9334225655
211,0.9442018270
212,0.9261951447
213,0.9051352739
214,0.9126906395
215,0.9834489822
216,0.9037742019
217,1.0069763660
218,0.9798049927
219,0.9803017378
220,1.0216342211
221,1.0066628456
222,1.0004206896
223,0.9082521200
224,0.9826724529
225,0.9248444438
226,0.9737578630
227,0.9732269049
228,0.8904449344
229,0.9697332382
230,0.9352153540
231,0.9437398314
232,0.9594950676
233,0.9261832237
234,0.9710128307
235,0.9900282621
236,0.8772227168
237,0.9841413498
238,0.8936799765
239,0.9578965902
240,0.8822361231
241,0.9421671629
242,0.9654291868
243,0.9661337137
244,0.9357055426
245,0.9695193768
246,0.9517156482
247,0.9178037643
248,0.9264624119
249,1.0024242401
250,0.9446124434
251,0.9476212263
252,0.9138578176
253,0.9360479712
254,0.9560347795
255,0.9556648731
256,0.9392184019
257,0.9597904682
258,0.9996213913
259,0.9474074244
260,0.9517439604
261,0.9253000021
262,0.9272577167
263,0.9246158004
264,0.9794782400
265,0.9502270222
266,0.9309265018
267,0.9772074223
268,0.9349212646
269,0.9393603206
270,0.9248644710
271,0.9884669185
272,0.9341591597
273,0.9758638740
274,0.9880241156
275,0.9671360850
276,0.9229186773
277,0.9332701564
278,0.9404300451
279,0.9551684260
280,0.9890971184
281,0.9514119625
282,0.9274632335
283,0.9528651237
284,0.9542993307
285,0.9849016666
286,0.9654886723
287,0.9285423160
288,0.9171008468
289,0.9722199440
290,0.9310725927
291,0.9624651670
292,0.9576390982
293,0.9291247129
294,0.9227870703
295,0.9641591907
296,0.9742428660
297,1.0101665258
298,0.9272302985
299,0.9158636928
300,0.9364957809
301,0.9470621943
302,0.8981342316
303,0.8904919624
304,0.9436160922
305,1.0021160841
306,0.9425156116
307,0.9814161062
308,0.9769639373
309,0.9937443733
310,0.9661349058
311,0.9935438633
312,0.9290819168
313,0.9346776009
314,0.9464049339
315,0.9732233882
316,0.9336997867
317,0.9212489128
318,0.9403070211
319,0.9969674945
320,0.9637962580
321,0.9426007271
322,0.8963812590
323,0.9711079597
324,0.8951052427
325,0.9136609435
326,0.8995954394
327,0.9924829006
328,0.8972794414
329,0.9521313906
330,0.9893524051
331,0.9224616885
332,0.9396587610
333,0.9988774657
334,0.9152058363
335,0.9338306189
336,0.9629077911
337,0.9717731476
338,0.9000379443
339,0.9730181098
340,0.9344232082
341,0.9823576212
342,0.9767893553
343,0.9299834967
344,0.9099907875
345,0.9952709079
346,0.9780718684
347,0.9731056094
348,1.0237005949
349,0.9586281776
350,0.9545570612
351,0.9843206406
352,0.9572141171
353,0.9523341060
354,0.9478813410
355,0.8843240738
356,0.9059674144
357,1.0047197342
358,0.9831910133
359,0.9837908745
360,0.9226669073
361,0.9037859440
362,0.9761936069
363,0.9701218605
364,0.9247115850
365,0.9914582968
366,0.9544833899
367,0.9234155416
368,0.9690532684
369,0.9690445662
370,0.9749560356
371,0.9545437098
372,0.9333974719
373,0.9697396159
374,0.9571222067
375,0.9722556472
376,0.9969230890
377,0.9661822319
378,0.9481487274
379,1.0016229153
380,0.9933397174
381,0.9724270105
382,0.9730586410
383,0.9458124042
384,0.8927435875
385,0.9572744370
386,0.9482805133
387,0.9292966723
388,0.9745227695
389,0.9394599795
390,0.9565884471
391,0.9611448050
392,1.0028414726
393,0.9736093283
394,0.9529892802
395,0.9731951952
396,0.8812625408
397,0.9559826851
398,0.9507052302
399,0.9602162242
400,0.9585161209
401,0.9903625250
402,0.9595283866
403,0.9520499706
404,0.8956951499
405,0.9413632751
406,0.9505991936
407,0.9486254454
408,0.9375251532
409,0.9876565933
410,0.9181563854
411,0.9694336653
412,0.9439062476
413,1.0151598454
414,0.9149750471
415,0.9785735607
416,0.9562554359
417,0.9838665724
418,0.9233166575
419,0.9593793750
420,0.9371293783
421,0.9357854128
422,1.0270051956
423,0.9307647943
424,0.9964594841
425,0.9536978602
426,0.9781929255
427,0.9395461082
428,0.9566747546
429,0.9111282229
430,0.9181687236
431,0.9720683098
432,0.9909753799
433,0.9295873046
434,0.9485121965
435,0.9800362587
436,0.9745612144
437,0.9223105311
438,0.9631189704
439,0.9275686741
440,0.9070598483
441,0.9528753161
442,0.9453157187
443,0.9001655579
444,0.9277304411
445,0.9250923395
446,0.9198114276
447,1.0063793659
448,0.9513052702
449,0.9486863613
450,0.9062645435
451,0.8754334450
452,0.9731723666
453,0.9824501276
454,0.9276998043
455,0.9636881351
456,0.9248134494
457,0.9483983517
458,0.9610871077
459,0.9632196426
460,0.9407383204
461,0.9102995396
462,0.9807832241
463,0.9736067653
464,0.9535400271
465,0.9466475248
466,0.9696475267
467,0.9551973343
468,0.9552418590
469,0.9911226034
470,0.9415615797
471,1.0012905598
472,0.9493204951
473,0.8896903992
474,0.9141092300
475,0.9976894259
476,0.9051047564
477,0.9982983470
478,0.9340993762
479,0.9419597387
480,1.0025243759
481,0.9396084547
482,0.9946948290
483,0.9682208896
484,0.9048379660
485,0.9314740896
486,0.8746754527
487,0.9859600067
488,0.9207834005
489,0.9727954268
490,0.9579886794
491,0.9098348618
492,0.9712123275
493,0.9466242194
494,0.9472507238
495,1.0103241205
496,0.9780626297
497,0.9199733734
498,0.9852620959
499,1.0254024267
500,0.9427251816
501,0.9311050773
502,0.9379725456
503,0.9742600322
504,0.9815950394
505,0.9724122286
506,0.9405909777
507,0.9353830218
508,0.9336764812
509,0.9758662581
510,0.9120175838
511,0.9219457507
512,0.9571613073
513,0.9487794638
514,1.0047782660
515,0.9534586668
516,0.9042413235
517,0.9001512527
518,0.8885140419
519,0.8988064528
520,0.9004018307
521,0.9290808439
522,0.9854584932
523,0.9716625214
524,0.9116474986
525,0.9435562491
526,0.9176797867
527,0.9149780273
528,0.9907267094
529,0.9151463509
530,0.9300066233
531,0.9460458755
532,0.9920195937
533,0.9161334038
534,0.9973170161
535,0.9903272390
536,0.9357346296
537,0.9932748675
538,0.9377881289
539,0.9500946999
540,0.9218696356
541,0.9353410006
542,0.9280436039
543,1.0240210295
544,0.9818512797
545,0.9792727232
546,0.9528428316
547,1.0282750130
548,0.9509149790
549,0.9330190420
550,0.9877936244
551,0.9803953171
552,0.9441630244
553,0.9107961655
554,0.9744523764
555,0.9196604490
556,0.9689768553
557,0.9085044861
558,0.8693985939
559,0.9369795322
560,0.9424940944
561,1.0142538548
562,0.9392131567
563,0.9757364988
564,0.9288177490
565,0.9273265600
566,0.9698991776
567,0.9300858974
568,0.9199218154
569,1.0087070465
570,0.9675425291
571,0.9382691383
572,0.9168661833
573,0.9153742790
574,0.9410529137
575,0.9943978190
