image_index,r_theta
0,0.8447429538
1,0.8229677081
2,0.8563342094
3,0.8910099864
4,0.9171116352
5,0.9532662630
6,0.8653073311
7,0.8079973459
8,0.7814707756
9,0.8122551441
10,0.7805657387
11,1.0405204296
12,0.9104864597
13,0.8287345767
14,0.9243406057
15,0.9266505241
16,0.8060380220
17,0.9291641116
18,0.8283526897
19,0.9860722423
20,0.9677070379
21,0.8012589216
22,0.7590743899
23,0.9421749115
24,0.8005023003
25,0.8751330376
26,0.9160215259
27,0.8965808749
28,0.7757430077
29,0.9213404655
30,0.8459343910
31,0.9678688049
32,0.8155938983
33,0.7156749964
34,0.9307284355
35,0.9319826365
36,0.9718520045
37,0.8183678985
38,0.8464505076
39,0.9169997573
40,0.9128621817
41,0.8667506576
42,0.8305082321
43,0.8710769415
44,0.7925719023
45,0.8414999843
46,0.8684973717
47,0.7277963161
48,0.9073925018
49,0.8654627204
50,0.9062775373
51,0.8598307967
52,0.9551318884
53,0.9088791609
54,0.9229688644
55,0.9430673122
56,0.9622609019
57,0.8646620512
58,0.9518693686
59,0.8052567840
60,0.9845733643
61,0.9115537405
62,0.8400797248
63,0.7697249651
64,0.8639143705
65,0.8449243307
66,0.8381220698
67,0.8728979826
68,0.8238854408
69,0.9041204453
70,0.9075626135
71,0.8185452223
72,0.7367336154
73,0.8485059738
74,0.8613328338
75,0.9112681150
76,0.7858078480
77,0.8316874504
78,0.8585624695
79,0.9230791330
80,0.8613960743
81,0.9061562419
82,0.8831918240
83,0.8474888802
84,0.9214829206
85,0.9610685706
86,0.9678210020
87,0.8159289360
88,0.9834251404
89,0.9083408117
90,0.9181855917
91,0.7558631897
92,0.8744953871
93,0.8984988928
94,0.9557058811
95,0.8594304919
96,0.7317298651
97,0.8409341574
98,0.9765936732
99,0.9524205923
100,0.8470627666
101,0.7842842340
102,0.8702289462
103,0.8246389627
104,0.8983547688
105,0.9127739668
106,0.8265713453
107,0.8556575775
108,0.9362397194
109,0.8310548067
110,0.8864454031
111,0.8634914160
112,0.8445922732
113,0.8970445395
114,0.9188851118
115,0.8385136127
116,0.8592235446
117,0.9101666212
118,0.9307577014
119,0.7508422136
120,0.8543728590
121,0.8935653567
122,0.9473432302
123,0.8654030561
124,0.8084235191
125,0.8583053946
126,0.8162879944
127,0.7650626898
128,0.8601791263
129,0.7910954952
130,0.7692612410
131,0.8971599340
132,0.8254423141
133,0.9430143237
134,0.8577591181
135,0.8200949430
136,0.7659581900
137,0.9209498167
138,0.8730195761
139,0.8974034786
140,0.8500611186
141,0.7668012381
142,0.9325448871
143,0.8941215277
144,0.8720073700
145,0.8945490122
146,0.8919912577
147,0.7754473686
148,0.9075598121
149,0.7441915274
150,0.7664116621
151,0.7996885180
152,0.9764067531
153,0.9404267669
154,0.8909082413
155,0.7028266191
156,0.8598582149
157,0.8021154404
158,0.8868557811
159,0.9061799049
160,0.8552059531
161,0.8428983688
162,0.8797017932
163,0.8249428272
164,0.8494302630
165,0.8683962822
166,0.7771195173
167,0.8888933063
168,0.8521922827
169,0.9416069388
170,0.9881488681
171,0.9155423045
172,0.9219051600
173,0.8506018519
174,0.8078615069
175,0.8471032381
176,0.7475206256
177,0.9156117439
178,0.8149646521
179,0.8487757444
180,0.8173140287
181,0.6946115494
182,0.7624001503
183,0.8409842253
184,0.8457064033
185,0.8695038557
186,0.7768417597
187,0.8526707888
188,0.8349379897
189,0.8350896239
190,0.7923759818
191,0.9509567022
192,0.8419344425
193,1.0012687445
194,0.8757009506
195,0.7743372917
196,0.8998814821
197,0.8009510040
198,0.8970437050
199,0.9043973684
200,1.0329726934
201,0.9463915229
202,0.9538566470
203,0.9096744061
204,0.7601417899
205,0.9155369997
206,0.8151073456
207,0.8232506514
208,0.9448902011
209,0.8349437714
210,0.8498337269
211,0.8465937376
212,0.7954344749
213,0.7976346016
214,0.7163683772
215,0.9238699675
216,0.8532729149
217,0.9384779334
218,0.9301273227
219,0.9345091581
220,0.9539749622
221,0.8771892786
222,0.8885778189
223,0.8399270773
224,0.9549974203
225,0.8829764128
226,0.8408789039
227,0.8137687445
228,0.7338362932
229,0.9855021834
230,0.8458523154
231,0.9090995789
232,0.9014177322
233,0.8110167384
234,0.9001392126
235,0.9389106631
236,0.8592495918
237,0.8344808817
238,0.8110003471
239,0.9860887527
240,0.7766097784
241,0.9642661810
242,0.9520368576
243,0.8549894094
244,0.7800859213
245,0.8936526179
246,0.8874861598
247,0.7724937201
248,0.8558561802
249,0.9161580801
250,0.8798246384
251,0.9539896846
252,0.7848839760
253,0.8265967369
254,0.8511559367
255,0.8890277743
256,0.8650773764
257,0.9231356382
258,0.9856468439
259,0.9057828784
260,0.9201540947
261,0.8155283928
262,0.8200048208
263,0.8855488300
264,0.9388355017
265,0.8375486135
266,0.8128817081
267,0.8201050758
268,0.8212386966
269,0.8671134710
270,0.8090710640
271,0.8897904158
272,0.8954965472
273,0.9143009186
274,0.9105824232
275,0.8840959072
276,0.8542722464
277,1.0016579628
278,0.7916496992
279,0.8298589587
280,0.9339106083
281,0.8291189671
282,0.8136748672
283,0.9050464630
284,0.9016808867
285,0.8830658793
286,0.8557249308
287,0.8141089678
288,0.9252705574
289,0.7997085452
290,0.8371055126
291,0.8222364783
292,0.8480976820
293,0.8478806019
294,0.8890157938
295,0.8807756305
296,0.9546210170
297,0.9871098399
298,0.7055444121
299,0.7837621570
300,0.7956603765
301,0.7686649561
302,0.7661091685
303,0.8431832790
304,0.8448128700
305,0.9835017920
306,0.8398097754
307,0.8204627037
308,0.9918984175
309,0.8632778525
310,0.8671249151
311,0.9620158076
312,0.8707360029
313,0.8527745008
314,0.8731231689
315,0.8927857280
316,0.8115596771
317,0.7825964689
318,0.8392478228
319,0.9499311447
320,0.8983348608
321,0.9679870605
322,0.8500971794
323,0.9161130786
324,0.7151219845
325,0.8256839514
326,0.7573676109
327,0.8891756535
328,0.7622765303
329,0.9601065516
330,0.9150493145
331,0.7450754046
332,0.7799047232
333,0.9495366812
334,0.8495131731
335,0.7844376564
336,0.9176089764
337,0.8064981699
338,0.7955576777
339,0.9309074283
340,0.7658030391
341,0.8759989738
342,0.8929909468
343,0.8872342110
344,0.7775714397
345,0.8921548724
346,0.9536366463
347,0.8058114052
348,0.9982786179
349,0.8453593254
350,0.8782391548
351,0.9510781169
352,0.8689236045
353,0.9591301680
354,0.8874844313
355,0.8518460989
356,0.8244158626
357,0.9307147861
358,0.9104173183
359,0.9460902214
360,0.8143773079
361,0.8065556288
362,0.8303345442
363,0.8941526413
364,0.9359149337
365,0.9138502479
366,0.8947668076
367,0.8940445781
368,0.9262188673
369,0.7872304916
370,0.9050587416
371,0.8180691004
372,0.9384636879
373,0.8665256500
374,0.8787419200
375,0.8529270887
376,0.9196903706
377,0.9676617384
378,0.8618044853
379,0.9979645610
380,0.8894820213
381,0.9196090102
382,0.9304394126
383,0.8364974856
384,0.8406412005
385,0.8885387182
386,0.8651891947
387,0.7676740885
388,0.9166883230
389,0.8348358870
390,0.9011273384
391,0.8608867526
392,0.9035927653
393,0.8954154849
394,0.9027556181
395,0.9665127993
396,0.7661229372
397,0.8814083934
398,0.9037450552
399,0.8672871590
400,0.8230001330
401,0.9590541720
402,0.9001649618
403,0.8896931410
404,0.8436056972
405,0.8594100475
406,0.8522094488
407,0.8249680400
408,0.8680810332
409,0.9254852533
410,0.8066954613
411,0.8030897379
412,0.8985535502
413,0.8802086115
414,0.7588757277
415,0.8853856921
416,0.8544578552
417,0.8454555273
418,0.8323798180
419,0.9246797562
420,0.7860227823
421,0.8868914843
422,0.9253653288
423,0.8689259291
424,0.9736776352
425,0.8511257172
426,0.9391819239
427,0.7831953764
428,0.8157632351
429,0.8012953997
430,0.8855575323
431,0.8198553920
432,0.8888961673
433,0.8977548480
434,0.7999477386
435,0.9905778766
436,0.8885312080
437,0.8356456757
438,0.8850707412
439,0.7733601332
440,0.7796999812
441,0.8485662937
442,0.8538875580
443,0.7758209109
444,0.8588662148
445,0.8123018146
446,0.8211708069
447,0.9696145058
448,0.8974108100
449,0.8885869980
450,0.8716564178
451,0.7865692377
452,0.9385464191
453,0.9630491138
454,0.8233420849
455,0.8150848150
456,0.9103075862
457,0.7707451582
458,0.8301669359
459,0.8995748758
460,0.8410059810
461,0.7458328009
462,0.8553649783
463,0.9479404688
464,0.8354686499
465,0.8917533755
466,0.8568756580
467,0.9382507801
468,0.8009772301
469,0.9547929764
470,0.7845948935
471,0.8522946239
472,0.9375169277
473,0.7447843552
474,0.8141875267
475,0.9207439423
476,0.7282972336
477,0.9951666594
478,0.7826585770
479,0.8704856634
480,0.9016048312
481,0.8308730125
482,0.8933023214
483,0.9272320271
484,0.8248626590
485,0.8223541975
486,0.7904351950
487,0.8864296675
488,0.7448065281
489,0.9308729172
490,0.8761096001
491,0.8106645346
492,0.8892382383
493,0.8418018222
494,0.8266989589
495,0.9348533154
496,0.9619135857
497,0.7779812217
498,0.9334223270
499,0.9544267654
500,0.9152115583
501,0.9049562216
502,0.8838840723
503,0.9569617510
504,0.8278671503
505,0.8633761406
506,0.8317663670
507,0.7174081802
508,0.9118500948
509,0.9667595625
510,0.8333948851
511,0.8362826705
512,0.9777787924
513,0.8606233597
514,0.9529091120
515,0.8998543620
516,0.8096716404
517,0.8190429211
518,0.8042482138
519,0.7885145545
520,0.7284218669
521,0.7846091986
522,0.9108000994
523,0.7787808180
524,0.7415688038
525,0.8824357986
526,0.7464733124
527,0.8422960043
528,0.8598958850
529,0.8202320337
530,0.8332700729
531,0.8227771521
532,0.8625581264
533,0.7567834258
534,0.8445482254
535,0.8998034000
536,0.8121497035
537,0.9183270335
538,0.8815445304
539,0.8980115652
540,0.8022415042
541,0.8253331184
542,0.7779612541
543,0.9729415774
544,0.9594457150
545,0.9518860579
546,0.9061293602
547,0.9571157694
548,0.9337053299
549,0.8616685867
550,0.9463557601
551,0.9651755691
552,0.8874740601
553,0.7977004051
554,0.8668655157
555,0.8551952243
556,0.9041848183
557,0.8447237015
558,0.7481967807
559,0.7919530869
560,0.9334266186
561,0.9511331320
562,0.8796167374
563,0.9647747278
564,0.8586993217
565,0.8591691852
566,0.8920935392
567,0.8871843815
568,0.9514565468
569,0.7407660484
570,0.9910399318
571,0.8939975500
572,0.8166975975
573,0.8441897631
574,0.7559673786
575,0.9093713760
576,0.8671903014
577,0.7666554451
578,0.8526322842
579,0.8754605651
580,0.7974717021
581,0.7706755996
582,0.8185881972
583,0.8704537749
584,0.9334894419
585,0.9091281295
586,0.8465323448
587,0.8712098002
588,0.8350142241
589,0.8064996600
590,0.8221554756
591,0.8703216910
592,0.8815423846
593,0.8894054294
594,0.9388755560
595,0.8622361422
596,0.8226363063
597,0.8272079229
598,0.7441934347
599,0.8926616907
600,0.8287652731
601,0.7383045554
602,0.8329269290
603,0.8332504034
604,0.9295021296
605,0.8391362429
606,0.9398090243
607,0.7710688114
608,0.9112011790
609,0.8627130985
610,0.8932291865
611,0.8269746304
612,0.8904055357
613,0.8790098429
614,0.8472113609
615,0.9232612848
616,0.8350371718
617,0.7997989655
618,0.8330451846
619,0.8321177959
620,0.8762080669
621,0.8431004286
622,0.7701639533
623,0.7261678576
624,0.8640646935
625,0.7643518448
626,0.8274109364
627,0.8969640136
628,0.9341503382
629,0.9248167872
630,0.9342600703
631,0.7455651760
632,0.8808797598
633,0.8861235976
634,0.8692478538
635,0.9379703403
636,0.8534314632
637,0.8812941313
638,0.9608664513
639,0.8457551003
640,0.9595036507
641,0.8517746329
642,0.8745886683
643,0.7896105051
644,0.7587193251
645,0.8807422519
646,0.8632835150
647,0.8681427836
648,1.0013173819
649,0.8848717213
650,0.9393311739
651,0.9051046371
652,0.8126134872
653,0.8726283312
654,0.8874809146
655,0.9189958572
656,0.8343033791
657,0.8775714636
658,0.8291430473
659,0.6882739067
660,0.9332634807
661,0.7946950197
662,0.7772347331
663,0.8347675204
664,0.9565116167
665,0.8543925285
666,0.7806927562
667,0.8584196568
668,0.8053547740
669,0.8512722850
670,0.8250820041
671,0.8934175372
672,0.8874397278
673,0.9660469890
674,0.9923634529
675,0.8328251839
676,0.8074220419
677,0.8157505989
678,0.9284429550
679,0.8739063144
680,0.9257116318
681,0.8076321483
682,0.8382142782
683,0.8357607722
684,0.8535492420
685,0.9915461540
686,0.9569238424
687,0.9000808001
688,0.8450579643
689,0.8398960829
690,0.8556115031
691,0.8663203716
692,0.8336111307
693,0.9395698905
694,0.8665043712
695,0.8216176033
696,0.8823398352
697,0.8581073284
698,0.8298845291
699,0.8275337219
700,0.9241290092
701,0.8504109383
702,0.7909492254
703,0.8621944189
704,0.8667297363
705,0.8940960765
706,0.9506680369
707,0.8085740805
708,0.8436257243
709,0.9727230072
710,0.8827122450
711,0.8168394566
712,0.8870043755
713,0.8530755043
714,0.8943631053
715,0.8445517421
716,0.8724408150
717,0.8488363028
718,0.9705957770
719,0.9422992468
720,0.8048782349
721,0.8470783234
722,0.8717950583
723,0.9695709944
724,0.8568092585
725,0.9564192295
726,0.8245940208
727,0.8677914143
728,0.8927021027
729,0.8130043745
730,0.8421920538
731,0.9416903257
732,0.8539244533
733,0.7760864496
734,0.8342779875
735,0.9581482410
736,0.8608786464
737,0.8865251541
738,0.8375389576
739,0.8266353011
740,0.9387375712
741,0.9631280899
742,0.9523143768
743,0.8687133193
744,0.9371072650
745,0.9569036365
746,0.8725862503
747,0.8852010965
748,0.8198124766
749,0.9375689030
750,0.8576818705
751,0.8965463638
752,0.8319411278
753,0.8219763637
754,0.9418215752
755,0.8724082708
756,0.9421664476
757,0.8739084005
758,0.8953679800
759,0.9150171280
760,0.7425186038
761,0.9192549586
762,0.8791245222
763,0.8457654715
764,0.9124759436
765,0.8428904414
766,0.9923774600
767,0.9600334167
768,1.0103743076
769,0.8837599754
770,0.8990707397
771,0.7294672728
772,0.8978195190
773,0.8555922508
774,0.8937804103
775,0.8449353576
776,0.8396295309
777,0.9674536586
778,0.9355841875
779,0.8454126716
780,0.8700850010
781,0.9168628454
782,0.7916811705
783,0.8976290226
784,0.9481389523
785,0.8105837703
786,0.8549937010
787,0.8691916466
788,0.8027065992
789,0.9003280997
790,0.8011112213
791,0.9129477739
792,0.9610130191
793,0.9507746696
794,0.6835492849
795,0.8329583406
796,0.7872495651
797,0.8556503057
798,0.8367685080
799,0.8956319690
800,0.8455128670
801,0.8361047506
802,1.0045933723
803,0.8480424881
804,0.9175931811
805,0.8063692451
806,0.8725361824
807,0.8614098430
808,0.9591501951
809,0.8043071628
810,0.8867745399
811,0.8119907379
812,0.7454581261
813,0.8506528139
814,0.8984062076
815,0.9348862171
816,0.7939608097
817,0.8491969109
818,0.9372188449
819,0.8678483367
820,0.8274282813
821,0.8481845856
822,0.8623732328
823,0.8498390913
824,0.8131088018
825,0.8890686035
826,0.7698413134
827,0.8554710746
828,0.9694480896
829,0.7960261106
830,0.8505708575
831,0.9095031619
832,0.9879883528
833,0.9871915579
834,0.8600440025
835,0.8512891531
836,0.8595795035
837,0.7772237659
838,0.9146962166
839,0.8761110306
840,0.9602095485
841,0.8635396361
842,0.8935091496
843,0.6982688904
844,0.8920174837
845,0.8397135139
846,0.9086002111
847,0.9111520648
848,0.8571169376
849,0.9232395887
