image_index,r_theta
0,0.9390890598
1,0.9845628142
2,0.9357296824
3,0.9451929331
4,0.9343406558
5,0.9218661785
6,0.9490174055
7,0.9194261432
8,0.9518481493
9,0.9118427038
10,0.9674083591
11,0.9644827843
12,0.9410740733
13,0.9520966411
14,0.9542607069
15,0.9891464710
16,0.9095908999
17,0.9522303939
18,0.9424662590
19,0.9337202907
20,0.9860615730
21,0.8658162951
22,0.9431552887
23,0.9219080806
24,0.9396103621
25,0.9623657465
26,0.9797174931
27,0.9066656828
28,0.9635720253
29,0.9476310611
30,0.9407992363
31,0.9123112559
32,0.9259921908
33,0.8888816833
34,0.9904729724
35,0.9777278304
36,0.9443578720
37,0.9397890568
38,0.9507627487
39,0.9017240405
40,0.9230022430
41,0.9367612600
42,0.9096474648
43,0.9490563869
44,0.8682622910
45,0.9283876419
46,0.9188585281
47,0.9262191057
48,0.9131548405
49,0.9245705605
50,0.9195877314
51,0.9488927126
52,0.9395513535
53,0.8996852636
54,0.9659968615
55,0.9933608770
56,0.9379924536
57,0.9402300715
58,0.9559127688
59,0.9239189029
60,0.9475997686
61,0.9148134589
62,0.9509953260
63,0.9716722369
64,0.9433157444
65,0.9507136345
66,0.9247301817
67,0.9115845561
68,0.9720597267
69,0.9407142997
70,0.9376831055
71,0.9091956615
72,0.9516177177
73,0.9793419838
74,0.9323295355
75,0.9727849364
76,0.9314674735
77,0.9616069794
78,0.8911314011
79,0.9671348333
80,0.9125617743
81,0.9626120925
82,0.9864010811
83,0.9357638359
84,0.9380341768
85,0.9454862475
86,0.9643402100
87,0.9063917398
88,0.9818264842
89,0.9607452154
90,0.9390702248
91,0.9679779410
92,0.9498238564
93,0.9220722914
94,0.9606971741
95,0.9116128683
96,0.9109611511
97,0.9268409610
98,1.0035045147
99,0.9945690036
100,0.9450291395
101,0.8759492636
102,0.9159063697
103,0.9550805092
104,0.9429432750
105,0.9372907877
106,0.9591669440
107,0.9452514648
108,0.9665521383
109,0.9156860709
110,0.9816550612
111,0.9222760201
112,0.9272487164
113,0.9077339172
114,0.9544999003
115,1.0158034563
116,0.9282336235
117,0.9696993232
118,0.9660077095
119,0.9347443581
120,0.9499521255
121,0.9203712344
122,0.9188337326
123,0.9632676840
124,0.9515193701
125,0.9844307899
126,0.9349591136
127,0.8727137446
128,0.9607428908
129,0.9157516956
130,0.9227336645
131,0.9687528014
132,0.8846086264
133,0.9709309340
134,0.9556474686
135,0.9188224673
136,0.9125428200
137,0.9381599426
138,0.9279555082
139,0.9718985558
140,0.9052473903
141,0.9500154257
142,0.9154735804
143,0.9462794065
144,0.9530333281
145,0.9725355506
146,0.9432592392
147,0.8763359785
148,0.9456807971
149,0.9786634445
150,0.9343646765
151,0.9108127356
152,0.9417631030
153,0.9298944473
154,0.9378759861
155,0.8522877693
156,0.9165427089
157,0.9074732661
158,0.8376971483
159,0.9749921560
160,0.9207676649
161,0.9460658431
162,0.9348014593
163,0.9404136539
164,0.9334009886
165,0.9634852409
166,0.9620212913
167,0.9414896369
168,0.9056024551
169,0.9490129352
170,0.9893503189
171,0.9504761100
172,0.9406749010
173,0.9626848698
174,0.9055330157
175,0.9350628853
176,0.8960449100
177,0.9765185118
178,0.9777891040
179,0.9287711978
180,0.9162787199
181,0.8488219976
182,0.9350506663
183,0.9953292608
184,0.9793810248
185,1.0171476603
186,0.8944351077
187,0.9823929667
188,0.9604719877
189,0.9533511996
190,0.9298706055
191,0.9223737717
192,0.9397697449
193,0.8949942589
194,0.9347763062
195,0.9196357727
196,0.9293117523
197,0.9889401197
198,0.9574676752
199,0.9406185150
200,1.0069502592
201,0.9655979872
202,0.9372912645
203,0.9803985953
204,0.9623928070
205,0.9760276675
206,0.9385225177
207,0.9420423508
208,0.9241480231
209,0.8641108871
210,0.9695650935
211,0.9551179409
212,0.9499179721
213,0.9455914497
214,0.9183974266
215,0.9552403688
216,0.9525651932
217,0.9390236735
218,0.9843592644
219,0.9254159927
220,0.9530052543
221,0.9951438308
222,0.9759694934
223,0.9403691292
224,0.9648451209
225,0.9898308516
226,0.9438378215
227,0.9650393724
228,0.9333991408
229,0.9558470249
230,0.9192578197
231,0.9591560364
232,0.9236754179
233,0.9384661913
234,0.9660698175
235,0.9978569746
236,0.9239451885
237,0.9702694416
238,0.9110112190
239,0.9766567945
240,0.9281241298
241,0.9087666273
242,0.9596250057
243,0.9726475477
244,0.9428418875
245,0.9625162482
246,0.9417068362
247,0.9154867530
248,0.9260863066
249,0.9725350142
250,0.9710808992
251,0.8866260052
252,0.9689537883
253,0.9495098591
254,0.9555735588
255,0.9663242102
256,0.9761273861
257,0.9408046603
258,1.0269508362
259,0.9310609698
260,0.9639357328
261,0.9609028697
262,0.9170748591
263,0.9223804474
264,0.9862675667
265,0.9577395320
266,0.9434736967
267,0.9266556501
268,0.9570106268
269,0.8969933391
270,0.9131612778
271,0.9512624741
272,0.9681877494
273,0.9566483498
274,0.9750542641
275,0.9544830322
276,0.9180865288
277,0.9236584902
278,0.9786970019
279,0.9336768389
280,0.9780580997
281,0.9240198135
282,0.9519163966
283,0.9741789699
284,0.9615196586
285,0.9664291143
286,0.9415044188
287,0.9113644958
288,0.8987549543
289,0.9714075327
290,0.9391684532
291,0.9361643791
292,0.9770624042
293,0.8849402666
294,0.9211273193
295,0.9628530741
