name,timestep,num_images,mean
r_Theta_1000,1000,10000,1.0217976570
r_Theta_900,900,10000,1.0039634705
r_Theta_800,800,10000,1.0004330873
r_Theta_700,700,10000,0.9988042116
r_Theta_600,600,10000,0.9963673949
r_Theta_500,500,10000,0.9934797883
r_Theta_400,400,10000,0.9885605574
r_Theta_300,300,10000,0.9828264713
r_Theta_200,200,10000,0.9731317163
r_Theta_150,150,10000,0.9637781978
r_Theta_140,140,10000,0.9613598585
r_Theta_130,130,10000,0.9585691690
r_Theta_120,120,10000,0.9557013512
r_Theta_110,110,10000,0.9522258043
r_Theta_100,100,10000,0.9481277466
r_Theta_90,90,10000,0.9437735081
r_Theta_80,80,10000,0.9381169677
r_Theta_70,70,10000,0.9317129850
r_Theta_60,60,10000,0.9233314395
r_Theta_50,50,10000,0.9130777121
r_Theta_40,40,10000,0.8996988535
r_Theta_30,30,10000,0.8806442618
r_Theta_20,20,10000,0.8500852585
r_Theta_10,10,10000,0.7925169468
r_Theta_0,0,10000,0.6105860472
