image_index,r_theta
0,0.8946741819
1,0.9293361902
2,0.9284276366
3,0.9235374331
4,0.9105426669
5,0.9249356985
6,0.8951975703
7,0.8742008209
8,0.8992597461
9,0.8995542526
10,0.9245936275
11,0.9508973956
12,0.9483208656
13,0.8749541044
14,0.9469531775
15,0.9811403751
16,0.9011834860
17,0.9348502159
18,0.8775708079
19,0.9406148791
20,0.9515310526
21,0.8516154289
22,0.9324671626
23,0.8960804939
24,0.9170093536
25,0.9687656760
26,0.9393390417
27,0.8529293537
28,0.9079760313
29,0.9084048271
30,0.9125275612
31,0.9228178263
32,0.8757469058
33,0.8855659366
34,0.9329969287
35,0.9311420918
36,0.9780904651
37,0.8756369352
38,0.9017164707
39,0.8661348224
40,0.8860932589
41,0.8929494619
42,0.9035072327
43,0.8941082358
44,0.8272689581
45,0.9665646553
46,0.9139975309
47,0.9077985287
48,0.9359118342
49,0.9406148791
50,0.8851673603
51,0.9055575728
52,0.9082368612
53,0.8599133492
54,0.9440069199
55,0.9422065020
56,0.9336392283
57,0.9217054248
58,0.9637197852
59,0.8816062212
60,0.9558369517
61,0.8937017918
62,0.9215447307
63,0.9432402849
64,0.8986701369
65,0.8742133379
66,0.8508118391
67,0.8925928473
68,0.9332544804
69,0.9490109682
70,0.9301370382
71,0.8461562991
72,0.8557135463
73,0.9558792114
74,0.9237329364
75,0.9370554686
76,0.8586832881
77,0.9018489718
78,0.8852729797
79,0.9032384753
80,0.8986462951
81,0.9001933932
82,0.9831817150
83,0.8994724154
84,0.9149718285
85,0.9595777988
86,0.9622449279
87,0.8826599121
88,0.9890222549
89,0.9643279910
90,0.9065863490
91,0.9101300240
92,0.9597187042
93,0.9063739777
94,0.9736355543
95,0.8959545493
96,0.8455823660
97,0.8470249176
98,0.9517077208
99,0.9560450315
100,0.9166914821
101,0.8287050128
102,0.8487808108
103,0.8732891083
104,0.9223108292
105,0.9223163128
106,0.9330563545
107,0.9323009253
108,0.9294112921
109,0.8606543541
110,0.9738829136
111,0.8637492657
112,0.9208120108
113,0.8798379898
114,0.9286033511
115,0.9526100159
116,0.9373838305
117,0.9601229429
118,0.9420729876
119,0.8899276257
120,0.8605360985
121,0.8593090773
122,0.9057521820
123,0.8834534883
124,0.9141093493
125,0.9278075099
126,0.8838173747
127,0.7990629673
128,0.9077897072
129,0.9246226549
130,0.8593575358
131,0.9479182959
132,0.8474680781
133,0.9438475370
134,0.9172474146
135,0.9081369638
136,0.9018516541
137,0.9700307846
138,0.9186165333
139,0.9970495105
140,0.8790041804
141,0.8856379390
142,0.9212847948
143,0.9180088043
144,0.9284062386
145,0.9443914294
146,0.9427697659
147,0.8208054900
148,0.9072884321
149,0.9502378702
150,0.9350943565
151,0.9156154394
152,0.9834312201
153,0.9250604510
154,0.9069749117
155,0.7759672999
156,0.9006527662
157,0.8408017159
158,0.8112772703
159,0.9018096924
160,0.8915174007
161,0.9129754305
162,0.9169487953
163,0.8744038343
164,0.9331465960
165,0.9453622699
166,0.9362133741
167,0.8992936611
168,0.9048172235
169,0.9166209102
170,0.9726251960
171,0.9589275122
172,0.9093760252
173,0.9345991015
174,0.8967536688
175,0.9113909602
176,0.8772215843
177,0.9497739673
178,0.9171003103
179,0.8931149244
180,0.8962025046
181,0.7668489814
182,0.8930632472
183,0.9120213389
184,0.9260275364
185,0.9293797016
186,0.8577370048
187,0.9146253467
188,0.8864735961
189,0.9148918390
190,0.9378408194
191,0.9149019122
192,0.8963477612
193,0.8622131348
194,0.8669431210
195,0.9069718122
196,0.8672870398
197,0.9771460891
198,0.9295806885
199,0.9361132979
200,1.0245947838
201,1.0009654760
202,0.9232157469
203,0.9419049621
204,0.8835992217
205,0.9416715503
206,0.8845915794
207,0.9249541163
208,0.8882824779
209,0.8083350062
210,0.9415559769
211,0.9470187426
212,0.9145712852
213,0.9186959267
214,0.8442904949
215,0.9294430614
216,0.9070731997
217,0.8930436373
218,0.9448062181
219,0.9051054716
220,0.9253889918
221,0.9236639738
222,0.9506984949
223,0.9058262110
224,0.9300846457
225,0.9392441511
226,0.9358328581
227,0.9287370443
228,0.8209238052
229,0.9568486214
230,0.8489269018
231,0.9204961658
232,0.8497290611
233,0.9269899130
234,0.9354134798
235,0.9607863426
236,0.9471898079
237,0.9742947817
238,0.9107429981
239,0.9926471710
240,0.9050320387
241,0.8873852491
242,0.9346914291
243,0.9789835811
244,0.8932976127
245,0.9067910910
246,0.9014958739
247,0.8146843314
248,0.9047888517
249,0.9345642924
250,0.9348868728
251,0.8255891800
252,0.9194828272
253,0.9113637805
254,0.9385999441
255,0.9360410571
256,0.9959680438
257,0.9172698259
258,0.9563220739
259,0.9022641182
260,0.9835736156
261,0.9416294098
262,0.8597130179
263,0.8743733168
264,0.9399385452
265,0.9148941040
266,0.9155672789
267,0.8541606665
268,0.9094365835
269,0.8869576454
270,0.8988908529
271,0.9470796585
272,0.9148731232
273,0.8752693534
274,0.9311482310
275,0.9207267761
276,0.8991068602
277,0.9486269355
278,0.9460511208
279,0.8792924285
280,0.9430030584
281,0.8721427917
282,0.9204758406
283,0.9491546154
284,0.9703733325
285,0.9084000587
286,0.9141680002
287,0.8881672621
288,0.9213029146
289,0.9251860976
290,0.9484838247
291,0.8854537010
292,0.9589936733
293,0.8256338835
294,0.9214901924
295,0.9252025485
296,0.9620767832
297,0.9390046597
298,0.9058591723
299,0.8467411995
300,0.9508545399
301,0.8911656141
302,0.8485231400
303,0.9124482870
304,0.9228452444
305,0.9708817005
306,0.8682510853
307,0.8614290953
308,0.9534871578
309,0.9506421089
310,0.8823910952
311,0.9312283993
312,0.9276341200
313,0.8764914870
