image,VLB_BPD
10654.png,1.9107584953308105
10655.png,1.3510470390319824
10656.png,2.653101682662964
10657.png,0.9981577396392822
10658.png,1.8108129501342773
10659.png,1.9093868732452393
1066.png,1.1181323528289795
10660.png,2.275092124938965
10661.png,2.152357578277588
10662.png,2.3216280937194824
10663.png,2.0725362300872803
10664.png,1.9559093713760376
10665.png,1.6741479635238647
10666.png,1.4562969207763672
10667.png,0.8913236260414124
10668.png,2.2044336795806885
10669.png,1.6671504974365234
1067.png,2.726228713989258
10670.png,1.611514687538147
10671.png,1.8196507692337036
10672.png,1.3932504653930664
10673.png,1.2550674676895142
10674.png,2.395651340484619
10675.png,1.9668110609054565
10676.png,1.4601317644119263
10677.png,2.4335269927978516
10678.png,1.8156063556671143
10679.png,1.6844713687896729
1068.png,2.7069027423858643
10680.png,1.0401129722595215
10681.png,1.8885271549224854
10682.png,1.626351237297058
10683.png,1.566694736480713
10684.png,1.828478217124939
10685.png,2.4447343349456787
10686.png,1.3853424787521362
10687.png,1.4325889348983765
10688.png,1.1331967115402222
10689.png,1.2198280096054077
1069.png,2.3764026165008545
10690.png,1.718140721321106
10691.png,1.251132845878601
10692.png,1.7611534595489502
10693.png,1.7986608743667603
10694.png,1.2614270448684692
10695.png,2.643439292907715
10696.png,2.0915260314941406
10697.png,1.7369407415390015
10698.png,0.7883260846138
10699.png,2.0924060344696045
107.png,2.247978448867798
1070.png,2.545989513397217
10700.png,2.2498257160186768
10701.png,1.8822920322418213
10702.png,2.443082809448242
10703.png,1.8875247240066528
10704.png,2.0260963439941406
10705.png,1.905771255493164
10706.png,2.251471519470215
10707.png,2.0161547660827637
10708.png,1.5786628723144531
10709.png,1.687646746635437
1071.png,1.84442138671875
10710.png,1.3951088190078735
10711.png,1.059106707572937
10712.png,1.4842774868011475
10713.png,0.8823961019515991
10714.png,1.4808802604675293
10715.png,1.3529986143112183
10716.png,2.3422765731811523
10717.png,1.5707550048828125
10718.png,1.7180745601654053
10719.png,2.0182952880859375
1072.png,2.1103968620300293
10720.png,1.5365623235702515
10721.png,1.9596680402755737
10722.png,1.914607048034668
10723.png,2.991870164871216
10724.png,2.233578681945801
10725.png,1.7635949850082397
10726.png,2.130789279937744
10727.png,1.3894115686416626
10728.png,1.9860252141952515
10729.png,1.2676547765731812
1073.png,1.839051604270935
10730.png,1.9920520782470703
10731.png,2.618335485458374
10732.png,2.617480993270874
10733.png,2.126783609390259
10734.png,1.248124599456787
10735.png,1.8173305988311768
10736.png,2.3735029697418213
10737.png,1.680141806602478
10738.png,1.5303277969360352
10739.png,1.9215151071548462
1074.png,1.8877692222595215
10740.png,1.2121673822402954
10741.png,1.380457878112793
10742.png,3.1294898986816406
10743.png,2.171971321105957
10744.png,1.9113705158233643
10745.png,2.431208610534668
10746.png,1.8859961032867432
10747.png,1.203160285949707
10748.png,1.296968698501587
10749.png,1.9334253072738647
1075.png,1.4026128053665161
10750.png,1.891065239906311
10751.png,0.7646357417106628
10752.png,1.803024411201477
10753.png,1.565325379371643
10754.png,3.213256359100342
10755.png,1.544776439666748
10756.png,2.045567512512207
10757.png,2.700038194656372
