image,VLB_BPD
0.png,1.2332607507705688
1.png,1.395878791809082
10.png,1.1831482648849487
100.png,1.4191232919692993
1000.png,1.0838907957077026
1001.png,1.6603862047195435
1002.png,1.0113636255264282
1003.png,1.7443900108337402
1004.png,1.048457384109497
1005.png,0.9446025490760803
1006.png,1.4653034210205078
1007.png,1.1255652904510498
1008.png,1.077264666557312
1009.png,1.0934258699417114
101.png,1.6856253147125244
1010.png,1.3672171831130981
1011.png,1.9180495738983154
1012.png,0.9280312061309814
1013.png,1.4064425230026245
1014.png,0.9442286491394043
1015.png,0.9360933303833008
1016.png,1.292126178741455
1017.png,1.1483269929885864
1018.png,1.6589703559875488
1019.png,1.0513975620269775
102.png,1.3269023895263672
1020.png,0.9232880473136902
1021.png,1.5191915035247803
1022.png,1.162327766418457
1023.png,1.0745071172714233
1024.png,1.4961273670196533
1025.png,0.9676850438117981
1026.png,1.0528852939605713
1027.png,1.6480237245559692
1028.png,1.0503517389297485
1029.png,0.8859153389930725
103.png,1.833765983581543
1030.png,1.0482122898101807
1031.png,0.9188694953918457
1032.png,1.663763165473938
1033.png,1.1150354146957397
1034.png,0.9013639092445374
1035.png,1.5585265159606934
1036.png,1.081575870513916
1037.png,1.2983829975128174
1038.png,0.7303594350814819
1039.png,1.7685104608535767
104.png,1.0701816082000732
1040.png,1.14254891872406
1041.png,1.4529016017913818
1042.png,1.167986273765564
1043.png,0.9973487257957458
1044.png,1.0242468118667603
1045.png,1.8906372785568237
1046.png,1.0734134912490845
1047.png,0.8300424814224243
1048.png,1.2471370697021484
1049.png,1.4794121980667114
105.png,1.0905702114105225
1050.png,1.525130033493042
1051.png,1.09029221534729
1052.png,1.0284619331359863
1053.png,1.211907148361206
1054.png,0.8919615149497986
1055.png,1.5771533250808716
1056.png,0.8812361359596252
1057.png,1.6341745853424072
1058.png,1.3769625425338745
1059.png,0.9920656681060791
106.png,0.7934585809707642
1060.png,1.0102033615112305
1061.png,1.2960442304611206
1062.png,1.5337598323822021
1063.png,0.7763975262641907
1064.png,0.7680453658103943
1065.png,1.0668212175369263
1066.png,1.0877346992492676
1067.png,1.0469427108764648
1068.png,0.9576255083084106
