method,timestep,n,snr_mean_db,snr_std_db,snr_ci95_db,psnr_mean_db,psnr_std_db,psnr_ci95_db,lpips_mean,lpips_std,lpips_ci95
ddpm,0,50000,74.16149423370368,1.6816183389503607,0.014740034638964892,80.0,0.0,0.0,0.0,0.0,0.0
ddpm,10,50000,26.513985502529074,1.6845339223928686,0.014765590854629253,32.352493379059,0.14062539842006802,0.0012326359649026334,0.0071996320894290745,0.004820184110179572,4.225077659094937e-05
ddpm,20,50000,22.129015464534724,1.6766372959961502,0.014696373872438604,27.96752334098822,0.16724050225140322,0.0014659276359713493,0.02973601842354983,0.017573969503444156,0.0001540426345413007
ddpm,30,50000,19.31794429579724,1.668497101347034,0.014625021920383431,25.156452157745335,0.18557167036952346,0.001626607409006197,0.06996570489743736,0.03588893376270541,0.00031458037449091464
ddpm,40,50000,17.243307738714186,1.661964330427714,0.014567759658543861,23.081815616302507,0.19857855469652785,0.001740617776926378,0.12573869474537586,0.05635379740487487,0.0004939628134072016
ddpm,50,50000,15.602118362936922,1.6566691873763821,0.014521345683275474,21.440626227416963,0.20702459254153907,0.001814650562793343,0.1928044501252475,0.07560960968135483,0.0006627474498389636
ddpm,60,50000,14.248660810210694,1.6529282611396112,0.014488555019047684,20.087168674278253,0.21140750924864263,0.0018530685216048112,0.2668360034349561,0.09145933757279688,0.0008016764402803078
ddpm,70,50000,13.100670826914357,1.6501197621342607,0.014463937439860122,18.939178690910328,0.21286141742611045,0.0018658125886748258,0.34311972298361426,0.10206783769525757,0.0008946640437398046
ddpm,80,50000,12.107667692396603,1.648484173211975,0.014449600870847295,17.946175567932084,0.2115088763955675,0.0018539570438231513,0.4172549091188606,0.10760413672695404,0.0009431918443760718
ddpm,90,50000,11.235431283655462,1.647478480620175,0.014440785586608341,17.073939143333597,0.20777372206302003,0.0018212169725665575,0.48637717998459895,0.10921670297105875,0.0009573266107170272
ddpm,100,50000,10.460406940351604,1.6471877005672508,0.014438236787066171,16.298914794540437,0.20181982263853837,0.0017690287430967534,0.5497412698295708,0.10881702407763631,0.0009538232707515585
ddpm,200,50000,5.71326081802602,1.6734237904421656,0.014668206254328658,11.55176868507385,0.06970463407786712,0.0006109880565678483,0.9301823978126069,0.0717469236033688,0.0006288895135461778
ddpm,300,50000,3.5402764053326417,1.7219054583721816,0.015093166810532679,9.37878426696773,0.15933893783616662,0.0013966673701399847,1.0514489556252995,0.04754018212311979,0.00041670806924886327
ddpm,400,50000,2.4165265063040167,1.7662480058167151,0.015481846376028107,8.255034370927824,0.284783196732653,0.0024962347800361203,1.096732193919423,0.04357114461345958,0.00038191792155562414
ddpm,500,50000,1.7947353244856834,1.7999885476694446,0.015777595265135193,7.6332431854820015,0.3703073903587115,0.0032458873898575063,1.1161539736604662,0.043082475733722966,0.0003776345499679915
ddpm,600,50000,1.4428250062545194,1.823360314408646,0.015982457833133037,7.281332868213639,0.4261171966235755,0.003735081910685278,1.124244229867461,0.04313053964974772,0.00037805584876729665
ddpm,700,50000,1.2489316464270546,1.838040320217567,0.016111133757456486,7.0874395097541925,0.46029592976207095,0.00403467171576068,1.127762874786849,0.04333643245879613,0.0003798605788103702
ddpm,800,50000,1.1472029588567163,1.8468218957735354,0.016188107661035855,6.985710822076765,0.47947050738818103,0.004202744299087048,1.1291744683158367,0.04344911117215411,0.00038084825128009806
ddpm,900,50000,1.0973366550557966,1.851729248595194,0.016231122505071166,6.935844519529349,0.4893011038085281,0.004288913275959676,1.1297152260613395,0.043480068757831024,0.00038111960648279006
ddpm,1000,50000,1.0729093995110484,1.853897402377555,0.016250127210903853,6.91141726210595,0.4937442392125193,0.0043278590749221925,1.1301348488962688,0.0434551903616338,0.00038090153772532277
iso,0,50000,74.04941785346989,1.7124411638086037,0.01501020861099997,80.0,0.0,0.0,0.0,0.0,0.0
iso,10,50000,26.407008087272658,1.7110540427156236,0.014998049958536817,32.357592340926985,0.14593545973004135,0.0012791807044734978,0.007716686782301417,0.005249253280557519,4.601173369244632e-05
iso,20,50000,22.035632689857394,1.7000801900768623,0.014901859899073498,27.986216924934418,0.17281450291952546,0.0015147859060215076,0.0315341816493868,0.018761522037394597,0.0001644519914569407
iso,30,50000,19.23097763180732,1.6905884661057216,0.01481866127018281,25.181561866073537,0.1905302508834023,0.0016700712835618775,0.07336632593268522,0.037744364633345705,0.0003308439431437837
iso,40,50000,17.160043305683153,1.683436820526714,0.014755974332773475,23.110627540588382,0.20305794222374407,0.0017798813397593848,0.13048521993294354,0.058492201881159896,0.0005127067550748652
iso,50,50000,15.521163178567898,1.677649083940721,0.014705242584800274,21.471747419662425,0.21123945473894273,0.001851595458878963,0.19847560226529834,0.07772503604225486,0.0006812899794448842
iso,60,50000,14.168926621899665,1.673661717993335,0.014670291781266945,20.11951085876469,0.21553046392962172,0.0018892078127893063,0.27300338702082616,0.09336395485115266,0.0008183711468059625
iso,70,50000,13.021256933812026,1.6708461528452365,0.014645612264607333,18.97184117168436,0.21689774147295549,0.001901192528870839,0.34954815133243855,0.10373381234104705,0.0009092669553623683
iso,80,50000,12.028195865052307,1.6693937101621341,0.014632881043161804,17.97878009922032,0.21538481064968132,0.0018879311054997437,0.42379619839563754,0.10897979964345213,0.0009552500614940999
iso,90,50000,11.155828828288293,1.6686713046193515,0.014626548879389946,17.1064130651474,0.21135922727027406,0.0018526453114047876,0.49300703939780444,0.11038137928457274,0.0009675354487195276
iso,100,50000,10.38058129505724,1.6687627905285807,0.014627350788741063,16.3311655411338,0.20520039444143692,0.001798660761444826,0.5563802682212,0.10968023538391804,0.0009613896514579444
iso,200,50000,5.627654471596344,1.7026289999751199,0.014924201202874875,11.57823871210103,0.07247231873854089,0.0006352478822507242,0.9351814265549163,0.07163508535026576,0.0006279092080353989
iso,300,50000,3.4475458176469633,1.7595569957897688,0.015423197087255239,9.398130052948034,0.16192751971009164,0.0014193572906788315,1.0554437798321246,0.04749638872860399,0.00041632420322102023
iso,400,50000,2.317431847243326,1.809423208155591,0.015860293710526482,8.26801608825688,0.28897142082502375,0.00253294618283625,1.1003834962594574,0.043549042352386394,0.000381724186695417
iso,500,50000,1.6913262094202777,1.8466623482620965,0.01618670916543748,7.641910444927213,0.37598092722228316,0.0032956181331287113,1.119677422615287,0.0431532887977848,0.0003782552538417458
iso,600,50000,1.3369965993050021,1.8721034438386843,0.01640971020043225,7.2875808318805735,0.4325140991304076,0.0037911532333800824,1.1277291849577353,0.04308501379767588,0.000377656797079429
iso,700,50000,1.1416196863919468,1.8880770174082828,0.0165497247461055,7.092203921680452,0.46711362403180057,0.004094431440881431,1.131212663296457,0.04331786169375842,0.0003796977988777378
iso,800,50000,1.0386944415541088,1.8978365574032174,0.016635270885948083,6.989278680009832,0.4866547820932432,0.00426571724339649,1.132588640799524,0.04342210425617854,0.00038061152522416076
iso,900,50000,0.9868300745820594,1.9032123689765224,0.01668239195198767,6.937414308967583,0.4966159350395841,0.004353030598675869,1.1331186905586712,0.043476178006972836,0.00038108550254785254
iso,1000,50000,0.9548844667088556,1.905575447336586,0.016703105247076775,6.905468705368055,0.5003196851385248,0.004385495399688048,1.1336331624066918,0.043435925305949905,0.00038073267206685274
