image_index,r_theta
0,0.8430393934
1,0.7584154606
2,0.7715072632
3,0.8816806674
4,0.9355721474
5,0.8026133776
6,0.8465428352
7,0.8653489947
8,0.7437124252
9,0.7895110846
10,0.7497140765
11,0.9689972401
12,0.8614017963
13,0.8187311888
14,0.9051480293
15,0.8767708540
16,0.7718559504
17,0.8988925815
18,0.7912262678
19,1.0016963482
20,1.0004720688
21,0.7895759344
22,0.7402023673
23,0.8977136612
24,0.7578738928
25,0.8609944582
26,0.8999516368
27,0.9118891954
28,0.7510396242
29,0.9156680107
30,0.8560130000
31,0.9228040576
32,0.7841938734
33,0.7326719761
34,0.9054183364
35,0.8459819555
36,0.9420779943
37,0.7890882492
38,0.8379942775
39,0.8728121519
40,0.9283922911
41,0.8044060469
42,0.7931997180
43,0.9137522578
44,0.7714819908
45,0.8877532482
46,0.8981158137
47,0.6885217428
48,0.9028453827
49,0.8520351648
50,0.9083452225
51,0.8479136229
52,0.8245763183
53,0.9234614372
54,0.9154881835
55,0.9758056998
56,0.9638761878
57,0.8775482178
58,0.8706657290
59,0.7630724907
60,0.8505616188
61,0.8957335949
62,0.7862294912
63,0.8141254187
64,0.8559920192
65,0.8998861313
66,0.8608211279
67,0.8812799454
68,0.8610603809
69,0.9730527401
70,0.8585161567
71,0.7918480635
72,0.7443341017
73,0.8921260834
74,0.7985281944
75,0.9284402728
76,0.8008691669
77,0.8640998602
78,0.8629608154
79,0.8753411770
80,0.8353442550
81,0.8755213022
82,0.8542155027
83,0.8130590916
84,0.9346916676
85,0.8673906326
86,0.9029259682
87,0.8084815741
88,0.9839301109
89,0.8904921412
90,0.9257340431
91,0.7789168358
92,0.6738674045
93,0.8704360723
94,0.9255434871
95,0.8395895958
96,0.7118007541
97,0.8154551387
98,0.8821164966
99,0.8602656722
100,0.8060650826
101,0.7568329573
102,0.9296411872
103,0.7593561411
104,0.9038977623
105,0.9311827421
106,0.8580114841
107,0.8672851324
108,0.9504182339
109,0.8243305087
110,0.9225974083
111,0.8760142326
112,0.7855009437
113,0.8669783473
114,0.8748926520
115,0.8141465187
116,0.8713601828
117,0.8929775953
118,0.9199184775
119,0.7022566795
120,0.6374046206
121,0.8736470938
122,0.9223470688
123,0.7371765971
124,0.7811479568
125,0.8274452686
126,0.8182615042
127,0.7465354800
128,0.8297392726
129,0.8212870359
130,0.7933434844
131,0.8606836200
132,0.7544758320
133,0.9718312621
134,0.8845673800
135,0.8235818744
136,0.7442212105
137,0.9712520838
138,0.8765870929
139,0.8895920515
140,0.7880372405
141,0.7629660368
142,0.9243638515
143,0.8180842400
144,0.8337351680
145,0.8900194168
146,0.8823149204
147,0.7433542013
148,0.9198009372
149,0.8528377414
150,0.8212260604
151,0.7792527676
152,0.9433004260
153,0.8834941387
154,0.8449568152
155,0.6942500472
156,0.8534392118
157,0.7318735123
158,0.8067826629
159,0.9238683581
160,0.8005342484
161,0.8762733340
162,0.8394988775
163,0.7928239703
164,0.8509556651
165,0.8845154643
166,0.7881668806
167,0.9503685832
168,0.8180184364
169,0.8650214076
170,0.9638110399
171,0.9351748228
172,0.9288007021
173,0.8564749956
174,0.8153745532
175,0.8230974078
176,0.7184934616
177,0.9367865920
178,0.8959506750
179,0.7890759706
180,0.8119080067
181,0.7289958000
182,0.8102928996
183,0.8219494820
184,0.8143787384
185,0.9020274878
186,0.7655147314
187,0.8821961880
188,0.7567231655
189,0.8407079577
190,0.7797369957
191,0.9606027603
192,0.7935835123
193,0.9756097794
194,0.8920106292
195,0.8174328804
196,0.8929951191
197,0.8541860580
198,0.8980077505
199,0.9099785686
200,1.0433272123
201,0.9505119324
202,0.8791653514
203,0.9173728824
204,0.7745317221
205,0.8947027922
206,0.7318266630
207,0.8225288391
208,0.9019178152
209,0.8205863833
210,0.8206412196
211,0.8129035830
212,0.7942174673
213,0.8304881454
214,0.7038527727
215,0.8263411522
216,0.8601918221
217,0.9439803958
218,0.9013344646
219,0.9013687968
220,0.9428222179
221,0.8501164317
222,0.8576751947
223,0.8043262362
224,0.9629511833
225,0.8251373768
226,0.8187198639
227,0.7576602697
228,0.6591614485
229,0.9734624624
230,0.8388118744
231,0.9240304232
232,0.7984037399
233,0.8632337451
234,0.8504347801
235,0.8365187645
236,0.8768404722
237,0.8007398844
238,0.7526049614
239,1.0025401115
240,0.7631499171
241,0.9798135757
242,0.9422206879
243,0.8686315417
244,0.7109732032
245,0.8524791598
246,0.8110887408
247,0.7330197096
248,0.8193375468
249,0.9210582972
250,0.8169406652
251,0.9686592817
252,0.8221704960
253,0.8495932817
254,0.8037592769
255,0.9188625216
256,0.8704659343
257,0.8645541072
258,0.9835685492
259,0.9751447439
260,0.9421982765
261,0.8111834526
262,0.7805888057
263,0.9089338183
264,0.9162306190
265,0.8246335983
266,0.7843071222
267,0.7922210693
268,0.7552911043
269,0.8420262337
270,0.7739350200
271,0.9086407423
272,0.8968844414
273,0.9163569212
274,0.9098721743
275,0.8810183406
276,0.8615802526
277,0.9662399292
278,0.8281233311
279,0.8243712187
280,0.9303588271
281,0.8126665950
282,0.7924404144
283,0.8761923313
284,0.8787376285
285,0.8881206512
286,0.8563059568
287,0.7885827422
288,0.8649117947
289,0.8216619492
290,0.8208836317
291,0.8459455371
292,0.8638738394
293,0.8582868576
294,0.8797950745
295,0.8857141733
296,0.9216119051
297,0.9496533275
298,0.7067018747
299,0.8235405684
300,0.7772132754
301,0.7595585585
302,0.7073343992
303,0.8372353315
304,0.7467877269
305,1.0105206966
306,0.8969410658
307,0.8506988883
308,0.9819616675
309,0.8235673904
310,0.8640825152
311,0.9762177467
312,0.8892900348
313,0.8681219816
314,0.8667320013
315,0.8769798279
316,0.7928406000
317,0.7740242481
318,0.8478537798
319,0.9389056563
320,0.8376187086
321,0.9452020526
322,0.8360966444
323,0.9309705496
324,0.7737894058
325,0.8337196112
326,0.7809287906
327,0.8392990828
328,0.6958079338
329,0.9291542768
330,0.9145463705
331,0.7486938834
332,0.7445985079
333,0.9257934093
334,0.8091027737
335,0.7115833759
336,0.8892540932
337,0.7950683832
338,0.8081812263
339,0.9189748168
340,0.7159500122
341,0.7475144863
342,0.8511742949
343,0.7852054834
344,0.7763708830
345,0.9117703438
346,0.9285570979
347,0.9230165482
348,1.0191863775
349,0.8533936739
350,0.8578640819
351,0.8726315498
352,0.8928210139
353,0.9432291389
354,0.8358254433
355,0.8566888571
356,0.8145353198
357,0.8317076564
358,0.8954267502
359,0.9468462467
360,0.7733997107
361,0.8688193560
362,0.8000447154
363,0.8827532530
364,0.9315965176
365,0.8673127890
366,0.8868702650
367,0.8645068407
368,0.9122352600
369,0.7658450007
370,0.8637360930
371,0.7945258021
372,0.9399806261
373,0.8739848137
374,0.8637818098
375,0.8024351597
376,0.8767172098
377,0.9577984810
378,0.8281041980
379,0.9864081144
380,0.7754737735
381,0.8506383300
382,0.8959913254
383,0.8683489561
384,0.8281599879
385,0.8635970950
386,0.8623006344
387,0.8273332119
388,0.8732589483
389,0.7856760025
390,0.8774980307
391,0.8628095388
392,0.9116520882
393,0.8859906197
394,0.8426172137
395,0.9509803653
396,0.7393482924
397,0.9729785919
398,0.9044165015
399,0.8479483128
400,0.8306678534
401,0.9122313261
402,0.8843983412
403,0.8737796545
404,0.7901992798
405,0.8757547140
406,0.8362315893
407,0.7679487467
408,0.8363822699
409,0.8950247765
410,0.8077883124
411,0.7638901472
412,0.8785239458
413,0.9172140360
414,0.7226748466
415,0.8679227829
416,0.8457525969
417,0.8444758654
418,0.7934709787
419,0.8925231695
420,0.7998139262
421,0.8723775148
422,0.9457020164
423,0.8783583641
424,0.9900777340
425,0.8182055950
426,0.9386558533
427,0.7096077204
428,0.7859865427
429,0.7750099897
430,0.8666094542
431,0.8482624888
432,0.8953137398
433,0.9212660789
434,0.7590429187
435,0.9877145290
436,0.8431398869
437,0.8317570090
438,0.8741699457
439,0.7300844193
440,0.7274538279
441,0.7919028997
442,0.8898034096
443,0.7690660954
444,0.7728419304
445,0.7798517942
446,0.8159704208
447,0.9418957233
448,0.8968937397
449,0.8615367413
450,0.8768202662
451,0.7392684221
452,0.9310135841
453,0.9643379450
454,0.8684448004
455,0.8765130043
456,0.8881605864
457,0.7179203033
458,0.8091031313
459,0.8789273500
460,0.8266032934
461,0.7686197758
462,0.9407838583
463,0.8975944519
464,0.8100046515
465,0.9226955175
466,0.8550016284
467,0.9341365695
468,0.8033653498
469,0.9735531807
470,0.7470790744
471,0.8062538505
472,0.9111204147
473,0.7817119956
474,0.8289801478
475,0.8828613758
476,0.7850747108
477,1.0289921761
478,0.7206782103
479,0.8376952410
480,0.8888100386
481,0.8379925489
482,0.9210011959
483,0.8940702677
484,0.8175013065
485,0.8020214438
486,0.7737560272
487,0.8672450781
488,0.7609971762
489,0.9163777232
490,0.8404995799
491,0.7853495479
492,0.8518395424
493,0.8184987903
494,0.7797431946
495,0.9243113399
496,0.9812888503
497,0.7450837493
498,0.8839470744
499,0.9669002295
500,0.9143037796
501,0.9020330310
502,0.9266821742
503,0.9421759844
504,0.7872883677
505,0.8867597580
506,0.8292152286
507,0.7325782776
508,0.8754062653
509,0.9578237534
510,0.9052040577
511,0.8312034607
512,0.9128388762
513,0.8585954905
514,0.9639644027
515,0.9048607349
516,0.8023314476
517,0.8000984192
518,0.7834160328
519,0.7422865629
520,0.6912008524
521,0.8436310291
522,0.9125491381
523,0.7744162083
524,0.7984638214
525,0.9031127691
526,0.7664858103
527,0.8146802783
528,0.8385713100
529,0.8102571368
530,0.8160351515
531,0.8841152191
532,0.8516993523
533,0.7267127037
534,0.8216735721
535,0.9049819708
536,0.8141762018
537,0.8982138634
538,0.8745567799
539,0.9054376483
540,0.7368330956
541,0.7874230146
542,0.7445687056
543,0.9863926768
544,1.0125689507
545,0.8840610385
546,0.8636209965
547,0.9603791237
548,0.9356834292
549,0.8142027259
550,0.9327155352
551,0.7819755077
552,0.8809030056
553,0.7590942383
554,0.8469436169
555,0.8597068787
556,0.8292564154
557,0.8263119459
558,0.7965822220
559,0.7968027592
560,0.8240898848
561,0.9416861534
562,0.8111304045
563,0.9434062839
564,0.8382717967
565,0.8414741755
566,0.8315151930
567,0.8843411207
568,0.9402651787
569,0.7562894821
570,0.9985431433
571,0.9051672220
572,0.7937719226
573,0.8003559113
574,0.7435193062
575,0.9310917258
576,0.8912412524
577,0.7206540108
578,0.7668874264
579,0.8866313696
580,0.7765671015
581,0.7694942355
582,0.7943839431
583,0.8656948805
584,0.9383532405
585,0.9048875570
586,0.8348125219
587,0.8027685881
588,0.8106914759
589,0.7686887980
590,0.9765599966
591,0.8488008976
592,0.9119666815
593,0.8925639391
594,0.8901593685
595,0.8308002353
596,0.8413182497
597,0.8720400333
598,0.7224172354
599,0.8413206339
600,0.8685132861
601,0.7285170555
602,0.8054113388
603,0.7726035118
604,0.9295732379
605,0.8883196712
606,0.9105759859
607,0.7291882038
608,0.9669522047
609,0.8601847887
610,0.8673919439
611,0.8178316355
612,0.9190466404
613,0.7921657562
614,0.8104826808
615,0.8857283592
616,0.8180494308
617,0.8315485716
618,0.8464267254
619,0.8367428780
620,0.8824394941
621,0.8446105719
622,0.7677698135
623,0.6530523300
624,0.8539640903
625,0.7312065959
626,0.8783027530
627,0.8670358062
628,0.9337649345
629,0.8914637566
630,0.9526976347
631,0.6920294762
632,0.9063445926
633,0.9328048229
634,0.8459906578
635,0.9014643431
636,0.8391236067
637,0.9074379802
638,0.9537736773
639,0.9034452438
640,1.0012931824
641,0.8307313919
642,0.8134772182
643,0.7788001895
644,0.7137867808
645,0.8942029476
646,0.8831748962
647,0.9130538702
648,0.9398009777
649,0.8273161650
650,0.9692422152
651,0.8771787882
652,0.8218690753
653,0.8620772362
654,0.8540510535
655,0.9131946564
656,0.8046047688
657,0.8040515780
658,0.7889491916
659,0.7262015343
660,0.9064887762
661,0.8033733368
662,0.7809962034
663,0.8207122684
664,0.9625821114
665,0.7901591063
666,0.7891916037
667,0.7935647964
668,0.8385710716
669,0.8262268901
670,0.7922184467
671,0.8680809736
672,0.8936514258
673,0.9822272062
674,0.9456871748
675,0.8229152560
676,0.7658278346
677,0.8289053440
678,0.9092504978
679,0.8821773529
680,0.9042229652
681,0.7629685402
682,0.8755577803
683,0.8031435013
684,0.8577960730
685,0.9529471397
686,0.9502968192
687,0.9346089363
688,0.8420554996
689,0.7897838354
690,0.7984476089
691,0.8351893425
692,0.8013705611
693,0.9302315712
694,0.8867068291
695,0.8405329585
696,0.8789958954
697,0.8159272671
698,0.8019517660
699,0.7939724922
700,0.9439613223
701,0.7349190712
702,0.7359487414
703,0.8542736769
704,0.8419092894
705,0.8966612220
706,0.9468609691
707,0.7609127760
708,0.8840188384
709,1.0073304176
710,0.8948616982
711,0.7635036707
712,0.8695906401
713,0.8799626231
714,0.8814027309
715,0.8627734184
716,0.8632575274
717,0.8366831541
718,0.9248174429
719,0.9688611031
720,0.7926511168
721,0.8411080241
722,0.8656038046
723,0.9457788467
724,0.8640409708
725,0.9603657126
726,0.8342911601
727,0.8787557483
728,0.8850768805
729,0.8027750254
730,0.8418847919
731,0.8513998985
732,0.8270942569
733,0.7097694278
