image_index,r_theta
0,0.9607905149
1,0.9473003745
2,0.9408698082
3,0.9510079622
4,0.9731073380
5,0.9329392910
6,0.9292763472
7,0.9564814568
8,0.9148231745
9,0.9539089203
10,0.9551012516
11,0.9820067883
12,0.9763476253
13,0.9775371552
14,0.9752718806
15,0.9773515463
16,0.9042374492
17,0.9648202658
18,0.9504258633
19,0.9630118608
20,0.9847521782
21,0.9614233971
22,0.9575488567
23,0.9452740550
24,0.9233859777
25,0.9592177272
26,0.9782025814
27,0.9919070005
28,0.9537987709
29,0.9829790592
30,0.9530741572
31,0.9764866829
32,0.9610012770
33,0.9193891287
34,0.9892848730
35,0.9682917595
36,0.9698165655
37,0.9508461952
38,0.9715386629
39,0.9868024588
40,0.9391226768
41,0.9507282972
42,0.9558442831
43,1.0129532814
44,0.8902413845
45,0.9556779265
46,0.9733653069
47,0.9142166376
48,0.9707776308
49,0.9600814581
50,0.9565767646
51,0.9613904953
52,0.9927845001
53,0.9478539228
54,0.9710022807
55,1.0085713863
56,0.9857681990
57,0.9505855441
58,0.9574589729
59,0.8936359286
60,0.9275889397
61,0.9403405190
62,0.9694956541
63,0.9466303587
64,0.9382986426
65,0.9221284389
66,0.9604730606
67,0.9697725177
68,0.9943441153
69,0.9708764553
70,0.9758615494
71,0.9325124621
72,0.9384427071
73,0.9809321761
74,0.9639713168
75,0.9845275283
76,0.9334644079
77,0.9783517718
78,0.9253230095
79,0.9697629809
80,0.9257280231
81,0.9535655975
82,0.9567527771
83,0.9446045756
84,0.9586663246
85,0.9608962536
86,0.9819151759
87,0.9362449646
88,0.9682625532
89,0.9399163127
90,0.9716922641
91,0.9831291437
92,0.8989874721
93,0.8930881023
94,0.9960088730
95,0.9756205082
96,0.9392544627
97,0.9534306526
98,0.9800855517
99,0.9935106635
100,0.9762201309
101,0.8780057430
102,0.9799069166
103,0.9484230876
104,0.9479360580
105,0.9664378166
106,0.9442231655
107,0.9610983729
108,0.9830395579
109,0.9631386995
110,0.9683150053
111,0.9735574722
112,0.9595991969
113,0.9496210814
114,0.9759771824
115,0.9814298153
116,0.9598661661
117,0.9802610874
118,0.9731216431
119,0.9480589628
120,0.9338874221
121,0.9869949818
122,0.9566464424
123,0.9567089081
124,0.9687556028
125,0.9820420146
126,0.9542770386
127,0.9301718473
128,0.9853600860
129,0.9352458715
130,0.9204976559
131,0.9294492006
132,0.9009832144
133,0.9957318306
134,0.9469670057
135,0.9442812800
136,0.9450422525
137,0.9684923887
138,0.9804341197
139,0.9541289210
140,0.9535737038
141,0.9414361715
142,0.9747091532
143,0.9354612231
144,0.9312744141
145,1.0021325350
146,0.9184435606
147,0.9167157412
148,1.0013847351
149,0.9581780434
150,0.9601356983
151,0.8944104910
152,0.9571282268
153,0.9385125041
