name,timestep,num_images,mean
r_Theta_1000,1000,10000,1.0218585730
r_Theta_900,900,10000,1.0040066242
r_Theta_800,800,10000,1.0004485846
r_Theta_700,700,10000,0.9987613559
r_Theta_600,600,10000,0.9964904189
r_Theta_500,500,10000,0.9937334061
r_Theta_400,400,10000,0.9890885949
r_Theta_300,300,10000,0.9832024574
r_Theta_200,200,10000,0.9728557467
r_Theta_150,150,10000,0.9645475745
r_Theta_140,140,10000,0.9616993070
r_Theta_130,130,10000,0.9589800835
r_Theta_120,120,10000,0.9562135935
r_Theta_110,110,10000,0.9527345896
r_Theta_100,100,10000,0.9491678476
r_Theta_90,90,10000,0.9446111321
r_Theta_80,80,10000,0.9392372966
r_Theta_70,70,10000,0.9329283237
r_Theta_60,60,10000,0.9251859188
r_Theta_50,50,10000,0.9145544171
r_Theta_40,40,10000,0.9011854529
r_Theta_30,30,10000,0.8827534318
r_Theta_20,20,10000,0.8531317115
r_Theta_10,10,10000,0.7962099314
r_Theta_0,0,10000,0.5933717489
