name,timestep,num_images,mean
r_Theta_1000,1000,1000,1.0003132820
r_Theta_900,900,1000,0.9995360970
r_Theta_800,800,1000,1.0004922152
r_Theta_700,700,1000,1.0004626513
r_Theta_600,600,1000,0.9980794787
r_Theta_500,500,1000,0.9943335056
r_Theta_400,400,1000,0.9890955687
r_Theta_300,300,1000,0.9819993973
r_Theta_200,200,1000,0.9691339731
r_Theta_150,150,1000,0.9595359564
r_Theta_140,140,1000,0.9576794505
r_Theta_130,130,1000,0.9545868039
r_Theta_120,120,1000,0.9511660337
r_Theta_110,110,1000,0.9472670555
r_Theta_100,100,1000,0.9431847334
r_Theta_90,90,1000,0.9388211966
r_Theta_80,80,1000,0.9322982430
r_Theta_70,70,1000,0.9243701696
r_Theta_60,60,1000,0.9152767062
r_Theta_50,50,1000,0.9040800929
r_Theta_40,40,1000,0.8881958723
r_Theta_30,30,1000,0.8660808206
r_Theta_20,20,1000,0.8307558298
r_Theta_10,10,1000,0.7676369548
r_Theta_0,0,1000,0.5550589561
