image_index,r_theta
0,0.8360414505
1,0.8382353187
2,0.8986372352
3,0.8182047606
4,0.8481864333
5,0.8724050522
6,0.8334518671
7,0.8075725436
8,0.8486527205
9,0.8201533556
10,0.8128334880
11,0.8268054724
12,0.8759530783
13,0.8152257800
14,0.8757766485
15,0.8207615614
16,0.7988659739
17,0.8447930217
18,0.8175239563
19,0.8467807770
20,0.8435096741
21,0.8836385012
22,0.7944399714
23,0.8575862646
24,0.8639836311
25,0.8615909815
26,0.8609630466
27,0.8603867888
28,0.8332481384
29,0.7963153124
30,0.8218154311
31,0.8392853737
32,0.8350796700
33,0.8230042458
34,0.8679174185
35,0.8499323130
36,0.8267142773
37,0.8160723448
38,0.8274378181
39,0.8418016434
40,0.8352898359
41,0.8126398921
42,0.8712135553
43,0.8486642838
44,0.8831475973
45,0.8452271223
46,0.8447622657
47,0.8409115672
48,0.8157584071
49,0.8602631092
50,0.8852366805
51,0.8741146326
52,0.8271085620
53,0.8293116093
54,0.8233318329
55,0.8135251403
56,0.8088971972
57,0.8257519603
58,0.8426775336
59,0.8304621577
60,0.8793217540
61,0.8171650171
62,0.8442484736
63,0.8249654770
64,0.8469344974
65,0.8348934650
66,0.8169053793
67,0.8752882481
68,0.8290065527
69,0.8181878924
70,0.8636252284
71,0.8406907320
72,0.8440000415
73,0.8569126129
74,0.8456990123
75,0.8374692798
76,0.8202146292
77,0.8463857174
78,0.8778887987
79,0.8855411410
80,0.8253418207
81,0.8592020869
82,0.8202170134
83,0.8343952894
84,0.8467273712
85,0.8505928516
86,0.8142897487
87,0.8556340933
88,0.8297930956
89,0.8895875812
90,0.9297263622
91,0.8959773779
92,0.8240965605
93,0.8351420760
94,0.8586773872
95,0.8998284340
96,0.8358148932
97,0.8545649052
98,0.8293806911
99,0.8360828757
100,0.8267047405
101,0.8121290207
102,0.8533889651
103,0.8348529339
104,0.8980312347
105,0.8610371351
106,0.8739106655
107,0.8351551294
108,0.8238840103
109,0.8048710823
110,0.8331379294
111,0.7985204458
112,0.8186293840
113,0.8258144259
114,0.7881588936
115,0.8422164917
116,0.8294191360
117,0.8433634639
118,0.8733360171
119,0.8474671245
120,0.8090265989
121,0.8771280050
122,0.8543874621
123,0.8733837008
124,0.8127772808
125,0.8680051565
126,0.8334220648
127,0.8549456000
128,0.8442457914
129,0.7826619148
130,0.7994427681
131,0.8866605759
132,0.8281415701
133,0.8436893821
134,0.8091365695
135,0.8632884026
136,0.8471993208
137,0.9127287865
138,0.8526873589
139,0.8478590250
140,0.8893424869
141,0.8015934229
142,0.8440291286
143,0.8479697108
144,0.8375606537
145,0.8430635333
146,0.8332762718
147,0.8394880295
148,0.8393788338
149,0.8579497337
150,0.8061168194
151,0.8091512918
152,0.8625032902
153,0.8328797221
154,0.8151282668
155,0.8394272327
156,0.8589403033
157,0.8262536526
158,0.8240744472
159,0.8301078677
160,0.8202219009
161,0.8959102631
162,0.8444927931
163,0.8304485679
164,0.7904607654
165,0.8746795058
166,0.9319158792
167,0.8201240897
168,0.8143908381
169,0.8440003395
170,0.8454961777
171,0.8053646088
172,0.8358540535
173,0.8499970436
174,0.8030111194
175,0.8750488758
176,0.8231884241
177,0.8058772087
178,0.8431259990
179,0.8654670715
180,0.8390409946
181,0.8675330877
182,0.8934758902
183,0.8255881071
184,0.8832124472
185,0.8694202304
186,0.8398827910
187,0.8266364932
188,0.8163099289
189,0.8449611068
190,0.8013547659
191,0.8101381660
192,0.8473863602
193,0.7979378104
194,0.8145711422
195,0.7997035980
196,0.8356668353
197,0.8571028709
198,0.8529033661
199,0.8649374247
200,0.8533663154
201,0.8645318747
202,0.8343992233
203,0.8382865191
204,0.8335277438
205,0.8242048621
206,0.8368784189
207,0.8389657736
208,0.8072168231
209,0.7935184836
210,0.7935771942
211,0.8446332812
212,0.8567451239
213,0.8289548755
214,0.8096038103
215,0.8523293734
216,0.8340217471
217,0.8483893275
218,0.8347619772
219,0.8766528964
220,0.8490979671
221,0.8405760527
222,0.7990142703
223,0.8410701156
224,0.8260647655
225,0.8297590017
226,0.8402810097
227,0.8073563576
228,0.8361960649
229,0.8177244663
230,0.8513298035
231,0.8353439569
232,0.8118028045
233,0.8229875565
234,0.8436957598
235,0.8557444811
236,0.8515755534
237,0.9216609001
238,0.8651583195
239,0.8111438751
240,0.8017281294
241,0.8563302755
242,0.8582866192
243,0.8285489082
244,0.8151085377
245,0.8260845542
246,0.8591172099
247,0.8597540259
248,0.8255199194
249,0.8541175723
250,0.8361366987
251,0.8495917320
252,0.8469201922
253,0.8119791746
254,0.8580944538
255,0.8480467796
256,0.8159019351
257,0.8266397715
258,0.8344578743
259,0.8548592925
260,0.8431980610
261,0.8632971644
262,0.8355345726
263,0.8236222267
264,0.8055124283
265,0.8464419842
266,0.8629587889
267,0.8117150068
268,0.8273700476
269,0.8426545858
270,0.8316094279
271,0.8119019270
272,0.8895460367
273,0.8406922221
274,0.8170390129
275,0.8916360140
276,0.8198661804
277,0.8349285126
278,0.8187500834
279,0.8372012973
280,0.8256484270
281,0.8195924163
282,0.8766056895
283,0.8321474791
284,0.8519131541
285,0.8288528919
286,0.8947681189
287,0.8024320602
288,0.8540996313
289,0.8380538821
290,0.7993644476
291,0.8118333817
292,0.8270483017
293,0.8305661678
294,0.8582083583
295,0.8296918869
296,0.8346642256
297,0.8425476551
298,0.8194801807
299,0.8463303447
300,0.8088239431
301,0.8522878885
302,0.8435822725
303,0.8020581007
304,0.8129054308
