image_index,r_theta
0,0.9940480590
1,0.9976776838
2,1.0088489056
3,0.9810872078
4,0.9975430369
5,0.9924901724
6,0.9990629554
7,0.9884986877
8,0.9880356789
9,0.9862799644
10,0.9835443497
11,1.0030333996
12,1.0005018711
13,0.9722158313
14,0.9933799505
15,0.9977674484
16,0.9945831299
17,0.9979285002
18,1.0096089840
19,0.9873096347
20,0.9836720824
21,1.0040452480
22,0.9913868904
23,1.0178526640
24,1.0070632696
25,1.0108275414
26,1.0001802444
27,0.9757196307
28,0.9891886711
29,0.9967092276
30,0.9956078529
31,0.9970571399
32,0.9945821762
33,0.9983816147
34,0.9903792739
35,0.9943642616
36,1.0052433014
37,1.0130941868
38,1.0065011978
39,0.9960286617
40,1.0037407875
41,0.9926908016
42,0.9922639728
43,1.0004892349
44,1.0108911991
45,0.9950410724
46,1.0097622871
47,0.9978829622
48,0.9935633540
49,0.9905573726
50,0.9824271202
51,0.9956616163
52,0.9913792610
53,0.9882785678
54,0.9888296127
55,0.9929351807
56,0.9870404005
57,0.9914312363
58,1.0011438131
59,0.9845018387
60,0.9851576090
61,0.9981986880
62,0.9635590315
63,0.9849765301
64,1.0073374510
65,0.9811886549
66,0.9870781898
67,1.0007748604
68,1.0043978691
69,0.9822915792
70,0.9912648201
71,0.9908367395
72,0.9909483790
73,0.9944489002
74,1.0050805807
75,1.0185203552
76,0.9903424978
77,1.0078256130
78,0.9974796772
79,1.0044760704
80,0.9992547035
81,0.9926793575
82,0.9894679785
83,1.0059159994
84,1.0000383854
85,1.0052365065
86,1.0027382374
87,0.9869087934
88,1.0030872822
89,1.0066908598
90,0.9989239573
91,0.9985732436
92,1.0039319992
93,1.0079869032
94,0.9805530310
95,0.9898375869
96,0.9898240566
97,0.9766005874
98,0.9913949966
99,0.9830242991
100,0.9965035319
101,0.9923447371
102,0.9972510338
103,1.0069794655
104,0.9764213562
105,1.0102628469
106,1.0008957386
107,1.0237549543
108,0.9973008037
109,0.9991816878
110,0.9857845306
111,0.9873472452
112,1.0005600452
113,0.9879052639
114,0.9981090426
115,0.9942352772
116,0.9937906265
117,1.0056232214
118,0.9910254478
119,0.9962022305
120,0.9942040443
121,0.9848586321
122,0.9930416346
123,0.9867906570
124,0.9725449085
125,1.0033743382
126,1.0040922165
127,0.9856203794
128,0.9939492941
129,1.0024700165
130,0.9939546585
131,0.9962088466
132,0.9857861996
133,0.9984321594
134,1.0025434494
135,0.9955962896
136,1.0097751617
137,1.0033018589
138,0.9922994375
139,1.0002506971
140,0.9965753555
141,0.9944540858
142,0.9958600402
143,0.9851851463
144,0.9881121516
145,1.0006042719
146,0.9917771816
147,0.9923843145
148,0.9940147400
149,1.0111591816
150,0.9946858287
151,0.9804652929
152,0.9995976686
153,1.0006878376
154,1.0097492933
155,0.9836250544
156,1.0036048889
157,0.9876837134
158,0.9953891039
159,0.9981222153
160,0.9845825434
161,0.9820120335
162,0.9967945814
163,1.0052757263
164,1.0099363327
165,1.0177655220
166,1.0071308613
167,0.9974945784
168,1.0060503483
169,0.9992660284
170,0.9846364260
171,0.9875831008
172,0.9883198738
173,0.9866594076
174,1.0004050732
175,1.0044481754
176,1.0124758482
177,0.9963814616
178,0.9812136889
179,0.9993604422
180,0.9854103923
181,0.9877077937
182,1.0040612221
183,1.0267128944
184,1.0136682987
185,0.9949967265
186,0.9904594421
187,0.9815203547
188,0.9929914474
189,0.9931334257
190,1.0034649372
191,0.9966982603
192,0.9940730929
193,0.9614257216
194,0.9814524651
195,0.9902884960
196,0.9864570498
197,0.9914578795
198,0.9987112284
199,0.9904474616
200,0.9893023372
201,1.0117005110
202,0.9962212443
203,1.0086002350
204,0.9905040264
205,0.9685518146
206,0.9908022285
207,1.0151016712
208,0.9885241389
209,1.0097504854
210,1.0017967224
211,1.0148916245
212,0.9797919989
213,1.0144371986
214,1.0002573729
215,1.0103362799
216,1.0066914558
217,0.9986100197
218,0.9913511276
219,1.0038285255
220,0.9971494675
221,0.9856925011
222,1.0014040470
223,0.9826835394
224,0.9880394936
225,0.9833778143
226,1.0019633770
227,1.0074067116
228,0.9920613170
229,1.0017576218
230,0.9908877611
231,0.9925078154
232,1.0066953897
233,0.9905799627
234,0.9907429218
235,1.0106111765
236,0.9847192764
237,0.9792801738
238,1.0071558952
239,0.9967646599
240,0.9809713364
241,1.0058214664
242,1.0105091333
243,1.0157022476
244,0.9883912802
245,0.9930763245
246,0.9900602698
247,0.9928290248
248,0.9965407252
249,0.9949941039
250,1.0020644665
251,0.9765946269
252,1.0168075562
253,0.9996682405
254,1.0012849569
255,0.9912364483
256,1.0123696327
257,1.0091183186
258,0.9866255522
259,0.9801783562
260,0.9853583574
261,1.0149550438
262,1.0046107769
263,1.0097365379
264,0.9887480736
265,0.9994292259
266,1.0025510788
267,0.9939626455
268,0.9993991256
269,0.9833331108
270,1.0032428503
271,1.0041469336
272,0.9932727218
273,1.0013728142
274,0.9994348288
275,0.9958647490
276,1.0042736530
277,0.9950076938
278,0.9912148714
279,1.0060412884
280,0.9978590012
281,0.9738625288
282,0.9910449982
283,1.0174672604
284,1.0191400051
285,1.0126376152
286,1.0028390884
287,0.9717880487
288,1.0024002790
289,0.9903559685
290,1.0022480488
291,0.9822233915
292,0.9949377775
293,0.9762703776
294,0.9916710854
295,1.0145765543
296,0.9998979568
297,1.0046522617
298,1.0070688725
299,1.0167235136
300,1.0004100800
301,0.9853752851
302,0.9962239265
303,0.9856008887
304,0.9955422282
305,0.9917703867
306,0.9806126356
307,0.9962686300
308,1.0051012039
309,0.9876016974
310,0.9779056311
311,0.9982609749
312,1.0136588812
313,0.9983531833
314,0.9897703528
315,0.9982601404
316,0.9993354678
317,1.0049889088
318,0.9962357283
319,0.9973224998
320,0.9952749610
321,0.9866092205
322,0.9851527214
323,1.0064979792
324,0.9973484874
325,1.0209403038
326,0.9875692129
327,0.9725553393
328,0.9806776047
329,0.9895451069
330,1.0025627613
331,0.9851855040
332,0.9959964156
333,0.9862626791
334,1.0050935745
335,0.9907848239
336,1.0001069307
337,0.9839477539
338,0.9903814197
339,1.0014498234
340,0.9977962971
341,0.9990164638
342,1.0084794760
343,0.9851185679
344,0.9899708033
345,0.9871139526
346,1.0112901926
347,1.0026602745
348,0.9961535335
349,0.9940252304
350,0.9936346412
351,1.0119365454
352,0.9873111248
353,0.9912974238
354,0.9725736380
355,1.0026053190
